,date,인사일러스,인사일러스_absolute
883,2021-06-02,0.01121,5.126658243379797
884,2021-06-03,0.0,0.0
885,2021-06-04,0.02017,9.224326205974176
886,2021-06-05,0.01793,8.199909215325583
887,2021-06-06,0.03139,14.355557739490798
888,2021-06-07,0.02242,10.253316486759594
889,2021-06-08,0.01569,7.1754922246769866
890,2021-06-09,0.03811,17.42880871143658
891,2021-06-10,0.05381,24.608874226250393
892,2021-06-11,0.02017,9.224326205974176
893,2021-06-12,0.03587,16.404391720787988
894,2021-06-13,0.02242,10.253316486759594
895,2021-06-14,0.01121,5.126658243379797
896,2021-06-15,0.02466,11.27773347740819
897,2021-06-16,0.0,0.0
898,2021-06-17,0.01345,6.151075234028393
899,2021-06-18,0.0,0.0
900,2021-06-19,0.03363,15.379974730139393
901,2021-06-20,0.04035,18.453225702085174
902,2021-06-21,0.0,0.0
903,2021-06-22,0.03811,17.42880871143658
904,2021-06-23,0.01121,5.126658243379797
905,2021-06-24,0.03811,17.42880871143658
906,2021-06-25,0.0,0.0
907,2021-06-26,0.02466,11.27773347740819
908,2021-06-27,0.03811,17.42880871143658
909,2021-06-28,0.01569,7.1754922246769866
910,2021-06-29,0.01121,5.126658243379797
911,2021-06-30,0.03363,15.379974730139393
912,2021-07-01,0.03811,17.42880871143658
913,2021-07-02,0.01121,5.126658243379797
914,2021-07-03,0.01121,5.126658243379797
915,2021-07-04,0.04932,22.55546695481638
916,2021-07-05,0.02466,11.27773347740819
917,2021-07-06,0.01793,8.199909215325583
918,2021-07-07,0.03139,14.355557739490798
919,2021-07-08,0.03363,15.379974730139393
920,2021-07-09,0.01121,5.126658243379797
921,2021-07-10,0.0269,12.302150468056785
922,2021-07-11,0.03587,16.404391720787988
923,2021-07-12,0.02017,9.224326205974176
924,2021-07-13,0.04035,18.453225702085174
925,2021-07-14,0.02017,9.224326205974176
926,2021-07-15,0.01345,6.151075234028393
927,2021-07-16,0.01121,5.126658243379797
928,2021-07-17,0.0,0.0
929,2021-07-18,0.02914,13.326567458705378
930,2021-07-19,0.0269,12.302150468056785
931,2021-07-20,0.02242,10.253316486759594
932,2021-07-21,0.02914,13.326567458705378
933,2021-07-22,0.01569,7.1754922246769866
934,2021-07-23,0.02914,13.326567458705378
935,2021-07-24,0.02914,13.326567458705378
936,2021-07-25,0.0695,31.784366450927383
937,2021-07-26,0.02466,11.27773347740819
938,2021-07-27,0.01793,8.199909215325583
939,2021-07-28,0.03587,16.404391720787988
940,2021-07-29,0.02017,9.224326205974176
941,2021-07-30,0.02914,13.326567458705378
942,2021-07-31,0.04035,18.453225702085174
943,2021-08-01,0.0695,31.784366450927383
944,2021-08-02,0.10762,49.217748452500786
945,2021-08-03,0.09417,43.066673218472395
946,2021-08-04,0.05829,26.657708207547582
947,2021-08-05,0.04708,21.531049964167785
948,2021-08-06,0.06278,28.711115478981597
949,2021-08-07,0.06053,27.68212519819618
950,2021-08-08,0.04484,20.50663297351919
951,2021-08-09,0.05381,24.608874226250393
952,2021-08-10,0.01121,5.126658243379797
953,2021-08-11,0.05157,23.584457235601796
954,2021-08-12,0.0269,12.302150468056785
955,2021-08-13,0.0269,12.302150468056785
956,2021-08-14,0.03139,14.355557739490798
957,2021-08-15,0.03363,15.379974730139393
958,2021-08-16,0.04035,18.453225702085174
959,2021-08-17,0.01793,8.199909215325583
960,2021-08-18,0.03587,16.404391720787988
961,2021-08-19,0.05605,25.63329121689899
962,2021-08-20,0.04932,22.55546695481638
963,2021-08-21,0.0426,19.482215982870596
964,2021-08-22,0.08071,36.91102469430718
965,2021-08-23,0.07623,34.862190713009994
966,2021-08-24,0.09865,45.11550719976958
967,2021-08-25,0.07399,33.83777372236139
968,2021-08-26,0.05829,26.657708207547582
969,2021-08-27,0.07399,33.83777372236139
970,2021-08-28,0.0695,31.784366450927383
971,2021-08-29,0.06053,27.68212519819618
972,2021-08-30,0.09193,42.0422562278238
973,2021-08-31,0.07847,35.88660770365858
974,2021-09-01,0.05829,26.657708207547582
975,2021-09-02,0.0695,31.784366450927383
976,2021-09-03,0.0426,19.482215982870596
977,2021-09-04,0.0695,31.784366450927383
978,2021-09-05,0.0852,38.96443196574119
979,2021-09-06,0.07175,32.813356731712794
980,2021-09-07,0.10762,49.217748452500786
981,2021-09-08,0.08296,37.9400149750926
982,2021-09-09,0.07175,32.813356731712794
983,2021-09-10,0.06278,28.711115478981597
984,2021-09-11,0.05157,23.584457235601796
985,2021-09-12,0.10538,48.19333146185219
