,date,빈폴,빈폴_absolute
1245,2022-05-30,5.41144,4664.941548904234
1246,2022-05-31,5.1654,4452.84232601857
1247,2022-06-01,6.29715,5428.469441531699
1248,2022-06-02,5.0733,4373.447355982114
1249,2022-06-03,4.66956,4025.402565509597
1250,2022-06-04,5.25499,4530.07354605729
1251,2022-06-05,5.42153,4673.639651484775
1252,2022-06-06,5.60826,4834.610582591262
1253,2022-06-07,4.70488,4055.850234800451
1254,2022-06-08,4.95596,4272.294198717426
1255,2022-06-09,9.44888,8145.423935701078
1256,2022-06-10,5.06321,4364.749253401573
1257,2022-06-11,5.20452,4486.565792118745
1258,2022-06-12,5.59312,4821.5591184614905
1259,2022-06-13,5.00895,4317.974323171626
1260,2022-06-14,5.61583,4841.136314656148
1261,2022-06-15,5.4026,4657.321011063601
1262,2022-06-16,5.47704,4721.4921464546305
1263,2022-06-17,6.03093,5198.974013484953
1264,2022-06-18,6.22776,5368.6516676899
1265,2022-06-19,6.51164,5613.370930382073
1266,2022-06-20,5.91738,5101.088032511667
1267,2022-06-21,5.62845,4852.015408270264
1268,2022-06-22,5.5641,4796.542375459775
1269,2022-06-23,5.42531,4676.898207258258
1270,2022-06-24,5.02662,4333.206778334972
1271,2022-06-25,5.23732,4514.841090893944
1272,2022-06-26,5.82149,5018.425886183808
1273,2022-06-27,5.70667,4919.445099434776
1274,2022-06-28,5.12251,4415.868924662831
1275,2022-06-29,5.09475,4391.938366918944
1276,2022-06-30,4.97741,4290.785209654255
1277,2022-07-01,4.69479,4047.15213221991
1278,2022-07-02,5.2676,4540.944019153486
1279,2022-07-03,5.83663,5031.47735031358
1280,2022-07-04,5.45181,4699.7425797443175
1281,2022-07-05,5.1919,4475.68669850463
1282,2022-07-06,5.34204,4605.1151545445155
1283,2022-07-07,4.83862,4171.141041452738
1284,2022-07-08,4.73643,4083.047968835741
1285,2022-07-09,5.21713,4497.436265214942
1286,2022-07-10,6.2593,5395.84078120727
1287,2022-07-11,4.91054,4233.139806328112
1288,2022-07-12,4.73769,4084.134154093568
1289,2022-07-13,4.62161,3984.0671820867087
1290,2022-07-14,4.32511,3728.4688257804187
1291,2022-07-15,4.3289,3731.7360020718215
1292,2022-07-16,4.68596,4039.540214897196
1293,2022-07-17,5.00895,4317.974323171626
1294,2022-07-18,4.56862,3938.3870576325085
1295,2022-07-19,4.45759,3842.673447174878
1296,2022-07-20,4.35161,3751.3131982664786
1297,2022-07-21,4.18506,3607.738472321074
1298,2022-07-22,4.24688,3661.030514097987
1299,2022-07-23,4.51815,3894.879303693964
1300,2022-07-24,4.82979,4163.529124130025
1301,2022-07-25,4.4374,3825.268621495877
1302,2022-07-26,4.35413,3753.4855687821337
1303,2022-07-27,4.31754,3721.9430937155335
1304,2022-07-28,4.18506,3607.738472321074
1305,2022-07-29,3.86333,3330.390549304472
1306,2022-07-30,4.10179,3535.955419607332
1307,2022-07-31,4.26707,3678.435339776989
1308,2022-08-01,4.50175,3880.741654306365
1309,2022-08-02,4.28852,3696.9263507138185
1310,2022-08-03,4.15983,3585.988905610762
1311,2022-08-04,3.81538,3289.0551658815834
1312,2022-08-05,3.85576,3323.864817239587
1313,2022-08-06,4.2759,3686.0472570997026
1314,2022-08-07,4.52194,3898.146479985366
1315,2022-08-08,4.3352,3737.166928360961
1316,2022-08-09,4.13964,3568.58407993176
1317,2022-08-10,4.24058,3655.5995878088484
1318,2022-08-11,4.16235,3588.161276126417
1319,2022-08-12,4.08791,3523.9901407353877
1320,2022-08-13,4.1573,3583.807914577187
1321,2022-08-14,4.52572,3901.4050357588494
1322,2022-08-15,4.86512,4193.985413938798
1323,2022-08-16,4.38567,3780.6746822995046
1324,2022-08-17,4.35665,3755.6579392977897
1325,2022-08-18,5.21713,4497.436265214942
1326,2022-08-19,4.97489,4288.6128391386
1327,2022-08-20,5.01274,4321.241499463028
1328,2022-08-21,5.11367,4408.248386822198
1329,2022-08-22,4.92694,4247.277455715711
1330,2022-08-23,5.14522,4435.446120857488
1331,2022-08-24,5.08087,4379.973088047
1332,2022-08-25,5.11746,4411.5155631136
1333,2022-08-26,5.41648,4669.286289935545
1334,2022-08-27,5.99939,5171.784899967582
1335,2022-08-28,6.70847,5783.048584587021
1336,2022-08-29,6.46622,5574.216537992759
1337,2022-08-30,6.64538,5728.66173703436
1338,2022-08-31,6.17603,5324.057728493528
1339,2022-09-01,5.86439,5055.4079080574675
1340,2022-09-02,5.85051,5043.442629185523
1341,2022-09-03,6.6416,5725.403181260877
1342,2022-09-04,7.29137,6285.538574101138
1343,2022-09-05,6.5293,5628.5947650275
1344,2022-09-06,6.26813,5403.4526985299835
1345,2022-09-07,5.88205,5070.6317427028935
1346,2022-09-08,5.52877,4766.086085651003
1347,2022-09-09,4.97363,4287.526653880772
1348,2022-09-10,5.12503,4418.041295178486
1349,2022-09-11,7.09455,6115.86954041411
1350,2022-09-12,8.03704,6928.344733787177
1351,2022-09-13,7.5046,6469.353877693685
1352,2022-09-14,6.41449,5529.622598796386
1353,2022-09-15,6.26939,5404.538883787811
1354,2022-09-16,6.1836,5330.583460558413
1355,2022-09-17,6.97595,6013.630197891594
1356,2022-09-18,7.45918,6430.199485304371
1357,2022-09-19,6.83085,5888.546482883019
1358,2022-09-20,7.27497,6271.400924713539
1359,2022-09-21,7.04029,6069.094610184163
1360,2022-09-22,6.84094,5897.244585463561
1361,2022-09-23,7.12104,6138.70529238225
1362,2022-09-24,7.6396,6585.730869603799
1363,2022-09-25,8.74107,7535.255056857386
1364,2022-09-26,7.66484,6607.489056832032
1365,2022-09-27,7.386,6367.114535171169
1366,2022-09-28,6.86618,5919.002772691792
1367,2022-09-29,6.44351,5554.639341798102
1368,2022-09-30,5.97037,5146.768156965867
1369,2022-10-01,6.69206,5768.902314681502
1370,2022-10-02,7.92727,6833.717308587376
1371,2022-10-03,8.50765,7334.034927585838
1372,2022-10-04,7.45035,6422.587567981657
1373,2022-10-05,7.5475,6506.335899567343
1374,2022-10-06,7.6661,6608.575242089859
1375,2022-10-07,7.09202,6113.688549380535
1376,2022-10-08,7.45161,6423.6737532394845
1377,2022-10-09,9.38075,8086.692347117107
1378,2022-10-10,10.84306,9347.27930296955
1379,2022-10-11,8.73097,7526.548333758925
1380,2022-10-12,7.98657,6884.836979848634
1381,2022-10-13,7.23838,6239.858449646938
1382,2022-10-14,6.96459,6003.837289535307
1383,2022-10-15,8.5556,7375.370311008726
1384,2022-10-16,8.66663,7471.0839214663565
1385,2022-10-17,8.10643,6988.1625076289765
1386,2022-10-18,8.21999,7086.057109120181
1387,2022-10-19,8.16321,7037.109808374578
1388,2022-10-20,7.34941,6335.572060104569
1389,2022-10-21,6.95324,5994.053001696938
1390,2022-10-22,7.19044,6198.531686741969
1391,2022-10-23,8.16826,7041.463169923809
1392,2022-10-24,8.18087,7052.333643020006
1393,2022-10-25,7.43394,6408.441298076139
1394,2022-10-26,7.17025,6181.126861062968
1395,2022-10-27,6.74379,5813.496253877874
1396,2022-10-28,7.68881,6628.152438284516
1397,2022-10-29,7.15511,6168.075396933195
1398,2022-10-30,7.09076,6112.602364122708
1399,2022-10-31,6.4637,5572.044167477104
1400,2022-11-01,6.78291,5847.21971997805
1401,2022-11-02,7.01884,6050.603599247334
1402,2022-11-03,6.92422,5969.036258695222
1403,2022-11-04,7.41754,6394.303648688539
1404,2022-11-05,7.96764,6868.518339427459
1405,2022-11-06,9.42617,8125.846739506421
1406,2022-11-07,8.12914,7007.739703823633
1407,2022-11-08,7.2346,6236.599893873456
1408,2022-11-09,7.04534,6073.447971733394
1409,2022-11-10,6.74884,5817.849615427105
1410,2022-11-11,8.11905,6999.041601243092
1411,2022-11-12,9.31893,8033.400305340193
1412,2022-11-13,9.09813,7843.05926968276
1413,2022-11-14,7.8339,6753.227532775172
1414,2022-11-15,7.56516,6521.55973421277
1415,2022-11-16,7.08698,6109.343808349224
1416,2022-11-17,6.54444,5641.646229157272
1417,2022-11-18,6.69837,5774.3418614885595
1418,2022-11-19,6.80309,5864.615925139132
1419,2022-11-20,7.61815,6567.239858666971
1420,2022-11-21,6.60122,5690.593529902873
1421,2022-11-22,6.63781,5722.136004969474
1422,2022-11-23,6.41197,5527.450228280732
1423,2022-11-24,5.96532,5142.4147954166365
1424,2022-11-25,5.41144,4664.941548904234
1425,2022-11-26,6.56085,5655.79249906279
1426,2022-11-27,7.81624,6738.003698129745
1427,2022-11-28,6.67945,5758.031841585305
1428,2022-11-29,6.80057,5862.443554623476
1429,2022-11-30,8.0711,6957.706217820203
1430,2022-12-01,7.75568,6685.79784161066
1431,2022-12-02,6.94188,5984.260093340649
1432,2022-12-03,6.63781,5722.136004969474
1433,2022-12-04,8.39158,7233.976576096897
1434,2022-12-05,7.51722,6480.232971307801
1435,2022-12-06,6.80436,5865.710730914879
