,date,에디션,에디션_absolute
1327,2022-08-20,0.28491,454.1883273298862
1328,2022-08-21,0.27231,434.10207930645225
1329,2022-08-22,0.29471,469.81096468144597
1330,2022-08-23,0.27721,441.91339798223214
1331,2022-08-24,0.34161,544.576443435339
1332,2022-08-25,0.29261,466.46325667754024
1333,2022-08-26,0.27721,441.91339798223214
1334,2022-08-27,0.27091,431.87027397051514
1335,2022-08-28,0.26601,424.0589552947353
1336,2022-08-29,0.29541,470.9268673494145
1337,2022-08-30,0.28281,450.8406193259806
1338,2022-08-31,0.30731,489.89721270487996
1339,2022-09-01,0.29401,468.6950620134774
1340,2022-09-02,0.25551,407.32041527520704
1341,2022-09-03,0.24921,397.27729126349
1342,2022-09-04,0.31221,497.70853138065974
1343,2022-09-05,0.31501,502.172142052534
1344,2022-09-06,0.37381,595.9079661618923
1345,2022-09-07,0.30031,478.7381860251944
1346,2022-09-08,0.31221,497.70853138065974
1347,2022-09-09,0.29261,466.46325667754024
1348,2022-09-10,0.25621,408.43631794317554
1349,2022-09-11,0.33671,536.7651247595592
1350,2022-09-12,0.45082,718.6732011051184
1351,2022-09-13,0.37591,599.255674165798
1352,2022-09-14,0.34301,546.808248771276
1353,2022-09-15,0.32691,521.1424874079993
1354,2022-09-16,0.30591,487.6654073689428
1355,2022-09-17,0.34931,556.851372782993
1356,2022-09-18,0.35071,559.0831781189302
1357,2022-09-19,0.32691,521.1424874079993
1358,2022-09-20,0.35211,561.3149834548673
1359,2022-09-21,0.44802,714.2095904332442
1360,2022-09-22,0.38851,619.341922189232
1361,2022-09-23,0.36401,580.2853288103327
1362,2022-09-24,0.38571,614.8783115173578
1363,2022-09-25,0.42562,678.5007050582506
1364,2022-09-26,0.37381,595.9079661618923
1365,2022-09-27,0.40112,639.4441116793512
1366,2022-09-28,0.38221,609.298798177515
1367,2022-09-29,0.34581,551.2718594431503
1368,2022-09-30,0.40532,646.1395276871625
1369,2022-10-01,0.44522,709.74597976137
1370,2022-10-02,0.42002,669.5734837145021
1371,2022-10-03,0.44802,714.2095904332442
1372,2022-10-04,0.44382,707.5141744254329
1373,2022-10-05,0.44942,716.4413957691813
1374,2022-10-06,0.45012,717.5572984371499
1375,2022-10-07,0.40952,652.8349436949738
1376,2022-10-08,0.45502,725.3686171129298
1377,2022-10-09,0.43962,700.8187584176217
1378,2022-10-10,0.59572,949.6650533746089
1379,2022-10-11,0.48372,771.1206264996404
1380,2022-10-12,0.48162,767.7729184957348
1381,2022-10-13,0.63073,1005.4761282397218
1382,2022-10-14,0.48302,770.0047238316719
1383,2022-10-15,0.49282,785.6273611832316
1384,2022-10-16,0.51032,813.5249278824455
1385,2022-10-17,0.46202,736.5276437926153
1386,2022-10-18,0.49352,786.7432638512003
1387,2022-10-19,0.47462,756.6138918160492
1388,2022-10-20,0.43472,693.0074397418417
1389,2022-10-21,0.41372,659.5303597027852
1390,2022-10-22,0.42492,677.3848023902821
1391,2022-10-23,0.52712,840.3065919136908
1392,2022-10-24,0.47252,753.2661838121436
1393,2022-10-25,0.46762,745.4548651363637
1394,2022-10-26,0.43682,696.3551477457473
1395,2022-10-27,0.43472,693.0074397418417
1396,2022-10-28,0.42492,677.3848023902821
1397,2022-10-29,0.42492,677.3848023902821
1398,2022-10-30,0.39761,633.8486568728232
1399,2022-10-31,0.38781,618.2260195212634
1400,2022-11-01,0.40462,645.0236250191939
1401,2022-11-02,0.46132,735.4117411246467
1402,2022-11-03,0.44732,713.0936877652757
1403,2022-11-04,0.67973,1083.5893149975204
1404,2022-11-05,0.53132,847.002007921502
1405,2022-11-06,0.54672,871.5518666168101
1406,2022-11-07,0.47602,758.8456971519863
1407,2022-11-08,0.48232,768.8888211637034
1408,2022-11-09,0.52642,839.1906892457222
1409,2022-11-10,0.48722,776.7001398394832
1410,2022-11-11,0.45852,730.9481304527725
1411,2022-11-12,0.51942,828.0316625660366
1412,2022-11-13,0.51592,822.4521492261939
1413,2022-11-14,0.48302,770.0047238316719
1414,2022-11-15,0.48162,767.7729184957348
1415,2022-11-16,0.47322,754.3820864801121
1416,2022-11-17,0.47742,761.0775024879235
1417,2022-11-18,0.48582,774.4683345035461
1418,2022-11-19,0.48652,775.5842371715147
1419,2022-11-20,0.47252,753.2661838121436
1420,2022-11-21,0.52432,835.8429812418165
1421,2022-11-22,0.47952,764.4252104918291
1422,2022-11-23,0.45362,723.1368117769927
1423,2022-11-24,0.41232,657.2985543668481
1424,2022-11-25,0.46342,738.7594491285524
1425,2022-11-26,0.44032,701.9346610855902
1426,2022-11-27,0.49142,783.3955558472945
1427,2022-11-28,0.47672,759.9615998199549
