,date,앤더슨벨,앤더슨벨_absolute
574,2020-07-28,4.13462,1890.8816865515591
575,2020-07-29,3.96869,1814.9970833112372
576,2020-07-30,3.68393,1684.7680733750346
577,2020-07-31,3.19962,1463.2790587585073
578,2020-08-01,3.5651,1630.4236666791542
579,2020-08-02,3.23774,1480.7124407600809
580,2020-08-03,3.18392,1456.0989932436937
581,2020-08-04,3.67497,1680.6704054124402
582,2020-08-05,3.34985,1531.9835964840156
583,2020-08-06,2.77584,1269.4721693401764
584,2020-08-07,2.68615,1228.4543301030012
585,2020-08-08,2.48211,1135.1409181512427
586,2020-08-09,2.77808,1270.496586330825
587,2020-08-10,2.84983,1303.3099430625377
588,2020-08-11,2.85432,1305.3633503339718
589,2020-08-12,2.88347,1318.694491082814
590,2020-08-13,3.34088,1527.8813552312843
591,2020-08-14,6.70418,3066.0160269493285
592,2020-08-15,3.82519,1749.3703698478116
593,2020-08-16,3.41711,1562.7435459442945
594,2020-08-17,7.42841,3397.227418528539
595,2020-08-18,6.50014,2972.70261499757
596,2020-08-19,3.91712,1791.4126260756354
597,2020-08-20,3.84986,1760.6526766153565
598,2020-08-21,3.25343,1487.8879329847578
599,2020-08-22,3.70636,1695.0259631519311
600,2020-08-23,4.0965,1873.4483045499858
601,2020-08-24,3.73326,1707.3281136199878
602,2020-08-25,3.47092,1587.3524201705447
603,2020-08-26,3.19065,1459.1768175057762
604,2020-08-27,3.31173,1514.550214482442
605,2020-08-28,3.23325,1478.6590334886469
606,2020-08-29,3.41935,1563.767962934943
607,2020-08-30,3.56286,1629.3992496885055
608,2020-08-31,12.28502,5618.29607966866
609,2020-09-01,8.91948,4079.1369909599675
610,2020-09-02,7.50241,3431.069765541037
611,2020-09-03,6.48669,2966.5515397635413
612,2020-09-04,5.78936,2647.6422986523876
613,2020-09-05,5.50909,2519.466695987619
614,2020-09-06,7.7782,3557.1965342245085
615,2020-09-07,6.83423,3125.4916651787253
616,2020-09-08,6.01134,2749.1601931096084
617,2020-09-09,5.78488,2645.5934646710907
618,2020-09-10,5.27366,2411.7977262963695
619,2020-09-11,4.76019,2176.972997640863
620,2020-09-12,5.63017,2574.840092964285
621,2020-09-13,5.7647,2636.3645651749794
622,2020-09-14,5.18621,2371.804304049843
623,2020-09-15,5.43285,2484.5999319844723
624,2020-09-16,5.69967,2606.6244594152126
625,2020-09-17,11.03836,5048.162291471349
626,2020-09-18,9.1437,4181.679302407838
627,2020-09-19,6.36337,2910.153725796227
628,2020-09-20,6.21762,2843.498022052016
629,2020-09-21,7.54501,3450.551981523908
630,2020-09-22,6.92167,3165.4805141351153
631,2020-09-23,5.85663,2678.406821402803
632,2020-09-24,5.175,2366.6776458064633
633,2020-09-25,4.71759,2157.490781657993
634,2020-09-26,4.82522,2206.71310340063
635,2020-09-27,4.83418,2210.810771363225
636,2020-09-28,4.34763,1988.2973397560488
637,2020-09-29,4.82746,2207.7375203912793
638,2020-09-30,4.53373,2073.4062692023454
639,2020-10-01,4.28933,1961.6350582583643
640,2020-10-02,4.7445,2169.7975054161866
641,2020-10-03,4.71983,2158.515198648641
642,2020-10-04,5.42837,2482.551098003175
643,2020-10-05,4.82073,2204.6596961291966
644,2020-10-06,4.64584,2124.67742492628
645,2020-10-07,4.47992,2048.797394976095
646,2020-10-08,4.08753,1869.3460632972547
647,2020-10-09,4.12341,1885.7550283081794
648,2020-10-10,4.68844,2144.1596409091508
649,2020-10-11,5.3342,2439.4844247847027
650,2020-10-12,4.7871,2189.279721399057
651,2020-10-13,4.61893,2112.3707011680863
652,2020-10-14,4.59875,2103.1418016719754
653,2020-10-15,4.91266,2246.70195235702
654,2020-10-16,4.34314,1986.243932484615
655,2020-10-17,3.9799,1820.123741554617
656,2020-10-18,4.41489,2019.0572892163277
657,2020-10-19,4.38126,2003.6773144861884
658,2020-10-20,4.13462,1890.8816865515591
659,2020-10-21,4.23103,1934.97277676068
660,2020-10-22,4.17722,1910.3639025344298
661,2020-10-23,4.66826,2134.9307414130394
662,2020-10-24,4.21534,1927.7972845360034
663,2020-10-25,4.9889,2281.568716360167
664,2020-10-26,4.83194,2209.786354372576
665,2020-10-27,4.05838,1856.0149225484122
666,2020-10-28,4.67275,2136.9841486844734
667,2020-10-29,6.58759,3012.6960372440963
668,2020-10-30,3.41935,1563.767962934943
669,2020-10-31,3.58528,1639.652566175265
670,2020-11-01,4.01354,1835.508289574893
671,2020-11-02,4.03596,1845.7616060616529
672,2020-11-03,4.05166,1852.9416715764667
673,2020-11-04,5.62568,2572.786685692851
674,2020-11-05,6.15484,2814.7869065730342
675,2020-11-06,3.97094,1816.0260735920226
676,2020-11-07,4.1391,1892.9305205328565
677,2020-11-08,4.95302,2265.1597513492425
678,2020-11-09,4.31624,1973.9417820165581
679,2020-11-10,4.24448,1941.1238519947087
680,2020-11-11,4.10995,1879.5993797840144
681,2020-11-12,3.79829,1737.068219379755
682,2020-11-13,3.67945,1682.7192393937373
683,2020-11-14,3.76241,1720.65925436883
684,2020-11-15,4.4418,2031.3640129745213
685,2020-11-16,3.69515,1689.8993049085511
686,2020-11-17,3.3633,1538.134671718044
687,2020-11-18,3.48214,1592.4836517040612
688,2020-11-19,3.15029,1440.7190185135541
689,2020-11-20,3.96421,1812.94824932994
690,2020-11-21,4.39471,2009.8283897202168
691,2020-11-22,4.33193,1981.117274241235
692,2020-11-23,4.07408,1863.1949880632264
693,2020-11-24,3.72878,1705.2792796386905
694,2020-11-25,4.02251,1839.6105308276242
695,2020-11-26,8.24009,3768.4322323542765
696,2020-11-27,4.73328,2164.6662738826694
697,2020-11-28,4.39471,2009.8283897202168
698,2020-11-29,5.34316,2443.582092747297
699,2020-11-30,4.60324,2105.1952089434094
700,2020-12-01,4.25345,1945.2260932474398
701,2020-12-02,4.05166,1852.9416715764667
702,2020-12-03,3.25792,1489.9413402561918
703,2020-12-04,3.21756,1471.48354126397
704,2020-12-05,3.16823,1448.9235010190166
705,2020-12-06,3.26688,1494.0390082187862
706,2020-12-07,17.74479,8115.207308701462
707,2020-12-08,5.10549,2334.8887060653988
708,2020-12-09,4.74001,2167.744098144752
709,2020-12-10,5.17276,2365.6532288158146
710,2020-12-11,4.89248,2237.4730528609093
711,2020-12-12,3.92161,1793.4660333470692
712,2020-12-13,4.63911,2121.599600664197
713,2020-12-14,8.79391,4021.7101867118677
714,2020-12-15,7.99345,3655.636604419647
715,2020-12-16,6.08533,2782.9979668319697
716,2020-12-17,4.86782,2226.195319383501
717,2020-12-18,3.99112,1825.2549730881335
718,2020-12-19,4.3992,2011.881796991651
719,2020-12-20,4.78037,2186.2018971369744
720,2020-12-21,4.08753,1869.3460632972547
721,2020-12-22,3.37451,1543.2613299614238
722,2020-12-23,3.1772,1453.0257422717477
723,2020-12-24,2.74894,1257.1700188721197
724,2020-12-25,2.65476,1214.0987723635103
725,2020-12-26,2.88123,1317.6700740921654
726,2020-12-27,3.45523,1580.1769279458676
727,2020-12-28,3.20634,1466.352309730453
728,2020-12-29,2.86553,1310.4900085773515
729,2020-12-30,3.06957,1403.8034205291103
730,2020-12-31,2.78481,1273.5744105929075
731,2021-01-01,3.32518,1520.7012897164707
732,2021-01-02,3.46196,1583.2547522079503
733,2021-01-03,3.26016,1490.9657572468404
734,2021-01-04,2.8745,1314.5922498300827
735,2021-01-05,3.19065,1459.1768175057762
736,2021-01-06,2.87674,1315.6166668207313
737,2021-01-07,2.8319,1295.1100338472122
738,2021-01-08,2.64355,1208.9721141201305
739,2021-01-09,2.62561,1200.767631614668
740,2021-01-10,3.36554,1539.1590887086927
741,2021-01-11,3.29828,1508.3991392484138
742,2021-01-12,3.24895,1485.8390990034604
743,2021-01-13,3.3207,1518.6524557351734
744,2021-01-14,3.52698,1612.9902846775806
745,2021-01-15,3.37899,1545.310163942721
746,2021-01-16,3.17047,1449.947918009665
747,2021-01-17,3.19065,1459.1768175057762
748,2021-01-18,2.8745,1314.5922498300827
749,2021-01-19,2.69064,1230.5077373744352
750,2021-01-20,2.9597,1353.556681795824
751,2021-01-21,3.08527,1410.983486043924
752,2021-01-22,2.97988,1362.785581291935
753,2021-01-23,2.63683,1205.8988631481848
754,2021-01-24,3.44626,1576.0746866931365
755,2021-01-25,3.95076,1806.7971740959115
756,2021-01-26,3.47317,1588.3814104513303
757,2021-01-27,3.16599,1447.899084028368
758,2021-01-28,3.05612,1397.6523452950817
759,2021-01-29,2.95746,1352.5322648051754
760,2021-01-30,3.40814,1558.6413046915632
761,2021-01-31,4.3252,1978.0394499791526
762,2021-02-01,3.56286,1629.3992496885055
763,2021-02-02,3.31621,1516.5990484637393
764,2021-02-03,3.02697,1384.3212045462396
765,2021-02-04,3.12787,1430.4657020267946
766,2021-02-05,3.18168,1455.074576253045
767,2021-02-06,3.25343,1487.8879329847578
768,2021-02-07,3.34536,1529.9301892125816
769,2021-02-08,3.01576,1379.1945463028599
770,2021-02-09,3.31846,1517.6280387445247
771,2021-02-10,2.5292,1156.6765414055471
772,2021-02-11,2.68167,1226.405496121704
773,2021-02-12,2.9754,1360.7367473106378
774,2021-02-13,2.98885,1366.887822544666
775,2021-02-14,3.51577,1607.8636264342008
776,2021-02-15,12.07874,5523.958250726253
