,date,마뗑킴,마뗑킴_absolute
895,2021-06-14,2.32565,844.1617321812327
896,2021-06-15,2.4437,887.0113838846252
897,2021-06-16,2.5647,930.9318231570561
898,2021-06-17,2.46436,894.5105266562649
899,2021-06-18,5.19729,1886.5062795554784
900,2021-06-19,3.44715,1251.2424978343845
901,2021-06-20,3.03101,1100.192484620918
902,2021-06-21,3.43239,1245.8849302008216
903,2021-06-22,3.28778,1193.3945605877122
904,2021-06-23,3.15202,1144.1165536817186
905,2021-06-24,3.13431,1137.6881984791173
906,2021-06-25,2.36696,859.1563879361429
907,2021-06-26,2.00985,729.5330154685574
908,2021-06-27,2.96608,1076.6242687369597
909,2021-06-28,2.95133,1071.2703308917667
910,2021-06-29,4.53914,1647.6117580087805
911,2021-06-30,4.14957,1506.2060924934008
912,2021-07-01,3.54455,1286.5966365545066
913,2021-07-02,3.79541,1377.653507594854
914,2021-07-03,3.39108,1230.8902744459117
915,2021-07-04,3.2199,1168.7555571347154
916,2021-07-05,3.5475,1287.667424123545
917,2021-07-06,3.63013,1317.660365421735
918,2021-07-07,3.46191,1256.6000654679472
919,2021-07-08,3.08709,1120.5483377977603
920,2021-07-09,2.97789,1080.9110488014837
921,2021-07-10,2.58536,938.430965928696
922,2021-07-11,2.85393,1035.9161921716448
923,2021-07-12,3.45305,1253.3840729724618
924,2021-07-13,3.38812,1229.8158570885034
925,2021-07-14,3.89871,1415.1492214530533
926,2021-07-15,3.84558,1395.8641558452496
927,2021-07-16,3.02216,1096.9801219138021
928,2021-07-17,3.06053,1110.9076198880434
929,2021-07-18,2.8923,1049.8436901458858
930,2021-07-19,3.24646,1178.3962750444325
931,2021-07-20,3.35566,1218.033564040709
932,2021-07-21,3.79246,1376.5827200258154
933,2021-07-22,3.26417,1184.8246302470338
934,2021-07-23,3.06053,1110.9076198880434
935,2021-07-24,2.79491,1014.4931812141332
936,2021-07-25,2.94542,1069.12512596532
937,2021-07-26,3.24941,1179.4670626134712
938,2021-07-27,3.47962,1263.0284206705485
939,2021-07-28,4.50373,1634.7586773919477
940,2021-07-29,3.6567,1327.3047131198216
941,2021-07-30,3.83378,1391.5810055690952
942,2021-07-31,2.97494,1079.8402612324453
943,2021-08-01,3.16973,1150.54490888432
944,2021-08-02,3.30254,1198.752128221275
945,2021-08-03,3.38812,1229.8158570885034
946,2021-08-04,3.19924,1161.2564143630757
947,2021-08-05,3.69506,1341.228581305693
948,2021-08-06,3.20514,1163.3979895011528
949,2021-08-07,2.85688,1036.9869797406832
950,2021-08-08,2.72112,987.7089728346896
951,2021-08-09,3.13726,1138.758986048156
952,2021-08-10,2.99265,1086.2686164350464
953,2021-08-11,3.82492,1388.3650130736098
954,2021-08-12,3.08119,1118.4067626596832
955,2021-08-13,3.335,1210.5344212690693
956,2021-08-14,2.71817,986.638185265651
957,2021-08-15,3.1166,1131.2598432765162
958,2021-08-16,3.29958,1197.6777108638669
