,date,칼하트,칼하트_absolute
465,2020-04-10,5.65578,7154.150972846494
466,2020-04-11,3.52041,4453.062995080878
467,2020-04-12,4.00505,5066.097400146196
468,2020-04-13,3.59831,4551.600837922138
469,2020-04-14,3.43102,4339.9911366523775
470,2020-04-15,4.52249,5720.621423249941
471,2020-04-16,3.44496,4357.624224318708
472,2020-04-17,3.20797,4057.8490847172925
473,2020-04-18,3.44004,4351.400781612944
474,2020-04-19,4.44049,5616.897378153876
475,2020-04-20,3.67867,4653.25040211628
476,2020-04-21,3.4753,4396.0021210042505
477,2020-04-22,3.35066,4238.341572458235
478,2020-04-23,3.13581,3966.5719250327575
479,2020-04-24,5.05961,6400.039217176739
480,2020-04-25,4.61515,5837.8295942084915
481,2020-04-26,4.02145,5086.842209165408
482,2020-04-27,3.90828,4943.69037765905
483,2020-04-28,3.32032,4199.963675772692
484,2020-04-29,3.13007,3959.3112418760325
485,2020-04-30,3.27686,4144.989931871778
486,2020-05-01,3.45562,4371.108350181196
487,2020-05-02,3.77134,4770.471222348624
488,2020-05-03,4.63893,5867.90956728635
489,2020-05-04,4.64221,5872.058529090193
490,2020-05-05,4.87264,6163.535745083922
491,2020-05-06,4.34864,5500.713798372493
492,2020-05-07,3.9419,4986.217236148435
493,2020-05-08,3.73033,4718.5965505268
494,2020-05-09,3.7861,4789.141550465915
495,2020-05-10,4.21662,5333.718085767831
496,2020-05-11,3.98209,5037.054667519298
497,2020-05-12,3.77708,4777.731905505349
498,2020-05-13,3.54091,4478.994006354894
499,2020-05-14,3.26455,4129.418675833576
500,2020-05-15,3.16697,4005.987062169261
501,2020-05-16,3.28998,4161.585779087148
502,2020-05-17,3.99029,5047.427072028905
503,2020-05-18,3.83366,4849.301496621632
504,2020-05-19,3.73443,4723.782752781603
505,2020-05-20,3.67539,4649.101440312438
506,2020-05-21,3.46054,4377.331792886959
507,2020-05-22,3.9255,4965.4724271292225
508,2020-05-23,3.71229,4695.777260605666
509,2020-05-24,4.11903,5210.273822829725
510,2020-05-25,3.87712,4904.275240522546
511,2020-05-26,3.55157,4492.478132217382
512,2020-05-27,3.55895,4501.813296276027
513,2020-05-28,3.2785,4147.0644127737
514,2020-05-29,3.63521,4598.276658215366
515,2020-05-30,3.40314,4304.7249613197155
516,2020-05-31,3.58929,4540.191192961572
517,2020-06-01,3.44332,4355.549743416786
518,2020-06-02,3.22273,4076.519412834584
519,2020-06-03,2.98328,3773.6325518802873
520,2020-06-04,2.85372,3609.748560628507
521,2020-06-05,2.63723,3335.9044323011085
522,2020-06-06,3.21371,4065.109767874017
523,2020-06-07,3.63439,4597.2394177644055
524,2020-06-08,3.3072,4183.367828557321
525,2020-06-09,3.00788,3804.749765409106
526,2020-06-10,3.04643,3853.5127158780483
527,2020-06-11,2.89636,3663.68506407846
528,2020-06-12,2.73399,3458.298805514463
529,2020-06-13,2.88488,3649.1636977650114
530,2020-06-14,3.24487,4104.524905010521
531,2020-06-15,2.83076,3580.70582800161
532,2020-06-16,2.72415,3445.851920102935
533,2020-06-17,2.55112,3226.9815356764498
534,2020-06-18,2.57655,3259.1486389300217
535,2020-06-19,2.31331,2926.169155624074
536,2020-06-20,2.56998,3250.838066048544
537,2020-06-21,3.03987,3845.214792270363
538,2020-06-22,2.55276,3229.056016578371
539,2020-06-23,2.42566,3068.283746679473
540,2020-06-24,2.53964,3212.4601693630007
541,2020-06-25,2.56506,3244.6146233427803
542,2020-06-26,2.23623,2828.668553233774
543,2020-06-27,2.4068,3044.4272163073783
544,2020-06-28,2.91768,3690.6533158034363
545,2020-06-29,2.44452,3092.140277051567
