,date,브룩스브라더스,브룩스브라더스_absolute
212,2019-08-01,6.06698,711.416753058182
213,2019-08-02,5.7799,677.7536255271958
214,2019-08-03,6.42105,752.9351575617919
215,2019-08-04,7.77033,911.1523259991931
216,2019-08-05,6.83253,801.1854840089502
217,2019-08-06,6.23923,731.6148640976567
218,2019-08-07,6.01913,705.8058409348795
219,2019-08-08,6.04784,709.1723882088611
220,2019-08-09,5.60765,657.5555144877211
221,2019-08-10,5.73205,672.1427134038933
222,2019-08-11,6.76555,793.3313796407411
223,2019-08-12,5.84688,685.6077298954049
224,2019-08-13,6.48803,760.789261930001
225,2019-08-14,5.46411,640.7239507222281
226,2019-08-15,6.10526,715.9054827568241
227,2019-08-16,5.76076,675.5092606778749
228,2019-08-17,6.87081,805.6742137075922
229,2019-08-18,6.93779,813.5283180758013
230,2019-08-19,7.311,857.2910874287321
231,2019-08-20,7.00478,821.3835950484249
232,2019-08-21,6.34449,743.9576981645079
233,2019-08-22,6.2488,732.7370465223172
234,2019-08-23,7.311,857.2910874287321
235,2019-08-24,7.29186,855.046722579411
236,2019-08-25,8.76555,1027.8522625373987
237,2019-08-26,9.58851,1124.3529154317155
238,2019-08-27,9.16746,1074.9804065598967
239,2019-08-28,10.98564,1288.1809959924192
240,2019-08-29,9.6555,1132.2081924043391
241,2019-08-30,11.73205,1375.7053620938661
242,2019-08-31,13.58851,1593.3946812250308
243,2019-09-01,14.44976,1694.385236422404
244,2019-09-02,11.62679,1363.362528027015
245,2019-09-03,11.33014,1328.5772180713684
246,2019-09-04,10.53588,1235.4419398466189
247,2019-09-05,9.94258,1165.8713199353253
248,2019-09-06,12.9665,1520.4575140397558
249,2019-09-07,10.46889,1227.5866628739952
250,2019-09-08,12.82296,1503.6259502742628
251,2019-09-09,10.2488,1201.7788123156324
252,2019-09-10,8.67942,1017.7526207154543
253,2019-09-11,7.77033,911.1523259991931
254,2019-09-12,7.99043,936.9613491619701
255,2019-09-13,8.97607,1052.537930671101
256,2019-09-14,10.78468,1264.616337678963
257,2019-09-15,11.49282,1347.6531466861825
258,2019-09-16,10.43062,1223.0991057797676
259,2019-09-17,9.58851,1124.3529154317155
260,2019-09-18,9.55023,1119.8641857330736
261,2019-09-19,9.5311,1117.620993488167
262,2019-09-20,8.13397,953.7929129274632
263,2019-09-21,9.12918,1070.4916768612545
264,2019-09-22,12.55502,1472.2071875925976
265,2019-09-23,10.622,1245.540409064149
266,2019-09-24,10.44976,1225.3434706290886
267,2019-09-25,9.37799,1099.6672472980133
268,2019-09-26,8.93779,1048.049200972459
269,2019-09-27,8.94736,1049.1713833971194
270,2019-09-28,9.70334,1137.8179319232272
271,2019-09-29,10.69856,1254.517868461433
272,2019-09-30,8.68899,1018.8748031401148
273,2019-10-01,9.14832,1072.7360417105756
274,2019-10-02,7.82775,917.8854205471561
275,2019-10-03,8.80382,1032.3398196316264
276,2019-10-04,8.67942,1017.7526207154543
277,2019-10-05,13.52153,1585.5405768568219
278,2019-10-06,15.70334,1841.3805806132002
279,2019-10-07,11.87559,1392.5369258593596
280,2019-10-08,10.39234,1218.6103760811259
281,2019-10-09,10.86124,1273.593797076247
282,2019-10-10,9.12918,1070.4916768612545
283,2019-10-11,7.71291,904.41923145123
284,2019-10-12,8.95693,1050.29356582178
285,2019-10-13,13.1866,1546.266537202533
286,2019-10-14,11.41626,1338.6756872888984
287,2019-10-15,10.95693,1284.8144487184377
288,2019-10-16,10.74641,1260.1287805847353
289,2019-10-17,11.61722,1362.2403456023546
290,2019-10-18,9.32057,1092.9341527500503
291,2019-10-19,10.48803,1229.8310277233163
292,2019-10-20,11.86602,1391.414743434699
293,2019-10-21,9.5311,1117.620993488167
294,2019-10-22,9.59808,1125.475097856376
295,2019-10-23,8.67942,1017.7526207154543
296,2019-10-24,7.89473,925.7395249153651
297,2019-10-25,8.0,938.0835315866307
298,2019-10-26,8.57416,1005.409786648603
299,2019-10-27,10.56459,1238.8084871206004
300,2019-10-28,9.58851,1124.3529154317155
301,2019-10-29,8.7177,1022.2413504140964
302,2019-10-30,7.77033,911.1523259991931
303,2019-10-31,7.62679,894.3207622336998
304,2019-11-01,10.14354,1189.4359782487813
305,2019-11-02,11.55023,1354.3850686297312
306,2019-11-03,12.14354,1423.956861145439
307,2019-11-04,11.0622,1297.1584553897032
308,2019-11-05,11.78947,1382.4384566418294
309,2019-11-06,10.88038,1275.838161925568
310,2019-11-07,9.75119,1143.4288440465295
311,2019-11-08,9.46411,1109.7657165155433
312,2019-11-09,10.42105,1221.9769233551071
313,2019-11-10,11.6555,1366.7290753009968
314,2019-11-11,9.38755,1100.7882571182593
315,2019-11-12,9.02392,1058.1488427944037
316,2019-11-13,8.93779,1048.049200972459
317,2019-11-14,7.73205,906.6635963005509
318,2019-11-15,7.55023,885.3433028364158
319,2019-11-16,9.34928,1096.3007000240318
320,2019-11-17,10.68899,1253.3956860367725
321,2019-11-18,8.63157,1012.1417085921518
322,2019-11-19,9.97129,1169.2378672093068
323,2019-11-20,9.84688,1154.6494956887202
324,2019-11-21,8.05741,944.8154535301793
325,2019-11-22,10.11483,1186.0694309747998
326,2019-11-23,10.22009,1198.4122650416512
327,2019-11-24,12.19138,1429.5666006643273
328,2019-11-25,9.9043,1161.3825902366832
329,2019-11-26,10.65071,1248.9069563381304
330,2019-11-27,10.79425,1265.7385201036236
331,2019-11-28,12.42105,1456.4978062517648
332,2019-11-29,12.66028,1484.5500216594487
333,2019-11-30,12.23923,1435.1775127876297
334,2019-12-01,13.62679,1597.8834109236727
335,2019-12-02,12.11483,1420.5903138714575
