,date,헨리코튼,헨리코튼_absolute
418,2020-02-23,11.51196,1349.8975115355036
419,2020-02-24,9.28229,1088.4454230514082
420,2020-02-25,10.78468,1264.616337678963
421,2020-02-26,11.13875,1306.1347421825728
422,2020-02-27,11.03349,1293.7919081157218
423,2020-02-28,10.92822,1281.4479014444562
424,2020-02-29,12.5933,1476.6959172912393
425,2020-03-01,11.88516,1393.65910828402
426,2020-03-02,9.57894,1123.2307330070548
427,2020-03-03,11.22488,1316.2343840045173
428,2020-03-04,11.00478,1290.4253608417403
429,2020-03-05,10.13397,1188.313795824121
430,2020-03-06,12.04784,1412.735036898834
431,2020-03-07,12.46889,1462.107545770653
432,2020-03-08,13.85645,1624.8134439066962
433,2020-03-09,12.13397,1422.8346787207786
434,2020-03-10,12.85167,1506.9924975482443
435,2020-03-11,11.42583,1339.797869713559
436,2020-03-12,10.91866,1280.32689162421
437,2020-03-13,9.7799,1146.795391320511
438,2020-03-14,13.92344,1632.6687208793196
439,2020-03-15,14.47846,1697.750611091971
440,2020-03-16,11.07177,1298.280637814364
441,2020-03-17,10.19138,1195.0457177676697
442,2020-03-18,9.85645,1155.7716781133809
443,2020-03-19,11.95215,1401.5143852566434
444,2020-03-20,11.93301,1399.2700204073224
445,2020-03-21,13.00478,1524.946243738398
446,2020-03-22,15.27272,1790.8858893167207
447,2020-03-23,11.72248,1374.5831796692057
448,2020-03-24,12.21052,1431.8109655136482
449,2020-03-25,11.01435,1291.5475432664007
450,2020-03-26,11.58851,1358.8737983283731
451,2020-03-27,9.94258,1165.8713199353253
452,2020-03-28,13.62679,1597.8834109236727
453,2020-03-29,13.5311,1586.6627592814823
454,2020-03-30,11.19617,1312.8678367305358
455,2020-03-31,10.45933,1226.465653053749
456,2020-04-01,10.78468,1264.616337678963
457,2020-04-02,11.16746,1309.5012894565543
458,2020-04-03,11.98086,1404.880932530625
459,2020-04-04,12.82296,1503.6259502742628
460,2020-04-05,12.80382,1501.3815854249417
461,2020-04-06,10.63157,1246.6625914888093
462,2020-04-07,11.26315,1320.7219410987448
463,2020-04-08,10.65071,1248.9069563381304
464,2020-04-09,11.27272,1321.8441235234054
465,2020-04-10,9.37799,1099.6672472980133
466,2020-04-11,14.29665,1676.4314902322503
467,2020-04-12,14.2488,1670.8205781089478
468,2020-04-13,10.16267,1191.679170493688
469,2020-04-14,10.38277,1217.4881936564652
470,2020-04-15,10.36363,1215.2438288071442
471,2020-04-16,8.93779,1048.049200972459
