,date,헤지스,헤지스_absolute
253,2019-09-11,3.7359,3220.5392894592433
254,2019-09-12,3.54159,3053.0340057699514
255,2019-09-13,3.48356,3003.009140284441
256,2019-09-14,4.85755,4187.459681873912
257,2019-09-15,5.16288,4450.6699555029145
258,2019-09-16,5.11367,4408.248386822198
259,2019-09-17,5.11115,4406.076016306542
260,2019-09-18,4.9976,4308.190035333257
261,2019-09-19,4.59764,3963.4038006342234
262,2019-09-20,4.43993,3827.4496125294518
263,2019-09-21,5.07835,4377.800717531344
264,2019-09-22,5.9199,5103.260403027322
265,2019-09-23,5.18559,4470.247151697572
266,2019-09-24,5.07204,4372.361170724286
267,2019-09-25,4.90549,4228.786444778882
268,2019-09-26,4.46137,3845.932002948361
269,2019-09-27,4.10179,3535.955419607332
270,2019-09-28,4.13712,3566.4117094161047
271,2019-09-29,4.82222,4157.0033920651385
272,2019-09-30,4.42983,3818.742889430991
273,2019-10-01,4.3289,3731.7360020718215
274,2019-10-02,4.33268,3734.994557845305
275,2019-10-03,4.62792,3989.5067288937657
276,2019-10-04,4.28852,3696.9263507138185
277,2019-10-05,4.67839,4033.014482832311
278,2019-10-06,5.17928,4464.807604890514
279,2019-10-07,5.17802,4463.721419632686
280,2019-10-08,5.10232,4398.464098983829
281,2019-10-09,5.73065,4940.11710140518
282,2019-10-10,5.55779,4791.102828652717
283,2019-10-11,4.52698,3902.4912210166776
284,2019-10-12,4.40964,3801.338063751989
285,2019-10-13,5.19442,4477.859069020285
286,2019-10-14,4.82348,4158.089577322967
287,2019-10-15,5.19442,4477.859069020285
288,2019-10-16,5.24741,4523.539193474485
289,2019-10-17,4.91811,4239.665538392997
290,2019-10-18,4.93325,4252.717002522769
291,2019-10-19,4.87395,4201.597331261511
292,2019-10-20,5.30924,4576.839855769317
293,2019-10-21,5.38746,4644.26954693383
294,2019-10-22,5.01148,4320.1553142052
295,2019-10-23,4.7932,4131.986649063423
296,2019-10-24,4.55474,3926.4217787605644
297,2019-10-25,4.10431,3538.127790122987
298,2019-10-26,4.83358,4166.796300421427
299,2019-10-27,5.79121,4992.322957924266
300,2019-10-28,5.37989,4637.743814868943
301,2019-10-29,5.23732,4514.841090893944
302,2019-10-30,4.66325,4019.963018702539
303,2019-10-31,4.62792,3989.5067288937657
304,2019-11-01,4.81591,4151.563845258081
305,2019-11-02,5.46443,4710.621673358434
306,2019-11-03,5.66251,4881.376892303289
307,2019-11-04,5.93,5111.967126125783
308,2019-11-05,5.57798,4808.507654331719
309,2019-11-06,5.40008,4655.148640547945
310,2019-11-07,5.38368,4641.010991160347
311,2019-11-08,5.8177,5015.1587098924065
312,2019-11-09,5.8114,5009.727783603267
313,2019-11-10,6.62898,5714.5240876467615
314,2019-11-11,6.09654,5255.533231553269
315,2019-11-12,5.71046,4922.712275726179
316,2019-11-13,5.82023,5017.339700925981
317,2019-11-14,6.32996,5456.753360824816
318,2019-11-15,5.95397,5132.6305075782675
319,2019-11-16,6.3451,5469.804824954588
320,2019-11-17,7.51722,6480.232971307801
321,2019-11-18,6.65421,5736.273654357074
322,2019-11-19,6.78922,5852.659266785108
323,2019-11-20,6.55201,5648.171961222157
324,2019-11-21,5.77354,4977.09050276092
325,2019-11-22,5.18811,4472.419522213227
326,2019-11-23,5.67135,4888.997430143922
327,2019-11-24,6.14449,5296.868614976157
328,2019-11-25,5.81266,5010.813968861095
329,2019-11-26,5.46947,4714.966414389745
330,2019-11-27,5.62593,4849.843037754608
331,2019-11-28,5.35971,4620.347609707862
332,2019-11-29,4.86512,4193.985413938798
333,2019-11-30,5.41648,4669.286289935545
334,2019-12-01,6.55832,5653.611508029215
335,2019-12-02,5.64107,4862.89450188438
336,2019-12-03,5.68018,4896.609347466636
337,2019-12-04,5.30293,4571.400308962259
338,2019-12-05,5.47578,4720.405961196803
339,2019-12-06,5.27517,4547.469751218372
340,2019-12-07,5.49976,4741.077963167207
341,2019-12-08,6.31229,5441.52090566147
342,2019-12-09,5.75462,4960.780482857665
343,2019-12-10,5.29914,4568.133132670857
344,2019-12-11,5.28022,4551.823112767603
345,2019-12-12,5.04554,4349.516798238226
346,2019-12-13,4.61278,3976.455264763995
347,2019-12-14,5.01148,4320.1553142052
348,2019-12-15,5.78616,4987.9695963750355
349,2019-12-16,5.742,4949.901389243549
350,2019-12-17,5.9792,5154.38007428858
351,2019-12-18,5.65242,4872.678789722749
352,2019-12-19,5.72181,4932.496563564547
353,2019-12-20,5.32816,4593.149875672571
354,2019-12-21,5.48588,4729.112684295263
355,2019-12-22,6.47757,5584.000825831128
356,2019-12-23,5.91107,5095.648485704609
357,2019-12-24,5.19316,4476.772883762457
358,2019-12-25,6.31229,5441.52090566147
359,2019-12-26,5.55275,4786.758087621406
360,2019-12-27,4.95975,4275.561375008828
361,2019-12-28,5.22344,4502.875812022
362,2019-12-29,5.89845,5084.769392090494
363,2019-12-30,5.17802,4463.721419632686
364,2019-12-31,4.59259,3959.0504390849937
365,2020-01-01,4.90928,4232.053621070284
366,2020-01-02,5.00012,4310.362405848912
367,2020-01-03,4.63549,3996.032460958652
368,2020-01-04,5.43415,4684.518745098891
369,2020-01-05,5.6335,4856.3687698194935
370,2020-01-06,5.27896,4550.736927509774
371,2020-01-07,4.89414,4219.002156940513
372,2020-01-08,4.7011,4052.591679026968
373,2020-01-09,4.74904,4093.918441931937
374,2020-01-10,3.91253,3372.8034974672696
375,2020-01-11,4.13712,3566.4117094161047
376,2020-01-12,4.62666,3988.4205436359384
377,2020-01-13,4.17371,3597.954184482705
378,2020-01-14,4.03492,3478.3100162811875
379,2020-01-15,3.9138,3373.898303243017
380,2020-01-16,3.67029,3163.9800713909276
381,2020-01-17,3.76744,3247.728402976614
382,2020-01-18,3.95543,3409.785519340928
383,2020-01-19,4.63423,3994.9462757008237
384,2020-01-20,4.15604,3582.721729319359
385,2020-01-21,3.71571,3203.1344637802417
386,2020-01-22,3.74851,3231.40976255544
387,2020-01-23,3.57314,3080.231739805241
388,2020-01-24,3.49617,3013.8796133806372
389,2020-01-25,3.82926,3301.020444753527
390,2020-01-26,4.8954,4220.088342198341
391,2020-01-27,5.18811,4472.419522213227
392,2020-01-28,4.63927,3999.2910167321347
393,2020-01-29,4.48408,3865.5091991430186
394,2020-01-30,4.30871,3714.3311763928195
395,2020-01-31,3.90118,3363.019209628901
396,2020-02-01,4.36044,3758.9251155891916
397,2020-02-02,4.73138,4078.6946072865103
398,2020-02-03,4.25824,3670.8234224542753
399,2020-02-04,3.93272,3390.2083231462716
400,2020-02-05,4.13586,3565.325524158277
401,2020-02-06,4.22922,3645.8066794525603
402,2020-02-07,4.35034,3750.2183924907317
403,2020-02-08,4.73516,4081.953163059993
404,2020-02-09,5.10232,4398.464098983829
405,2020-02-10,4.57493,3943.8266044395664
406,2020-02-11,4.73643,4083.047968835741
407,2020-02-12,4.75661,4100.444173996823
408,2020-02-13,4.54465,3917.7236761800236
409,2020-02-14,4.48156,3863.336828627363
410,2020-02-15,4.84493,4176.580588259796
411,2020-02-16,5.13008,4422.394656727716
412,2020-02-17,4.63801,3998.204831474308
413,2020-02-18,4.26581,3677.3491545191614
414,2020-02-19,4.11945,3551.179254252758
415,2020-02-20,3.95543,3409.785519340928
416,2020-02-21,3.39776,2929.045096537123
417,2020-02-22,3.60594,3108.5070385804393
418,2020-02-23,3.56052,3069.352646191125
419,2020-02-24,3.29808,2843.115773917862
420,2020-02-25,3.44444,2969.285674184265
421,2020-02-26,3.36748,2902.9421682775805
422,2020-02-27,3.50248,3019.319160187695
423,2020-02-28,3.2615,2811.5819193691805
424,2020-02-29,3.53276,3045.422088447238
425,2020-03-01,4.24436,3658.858143582332
426,2020-03-02,3.56178,3070.4388314489534
427,2020-03-03,3.82043,3293.4085274308136
428,2020-03-04,3.91001,3370.6311269516145
429,2020-03-05,3.67533,3168.3248124222387
430,2020-03-06,3.30565,2849.6415059827477
431,2020-03-07,3.85828,3326.0371877552425
432,2020-03-08,4.44119,3828.535797787279
433,2020-03-09,4.20903,3628.401853773559
434,2020-03-10,4.42731,3816.570518915336
435,2020-03-11,3.84945,3318.4252704325286
436,2020-03-12,3.78384,3261.866052364213
437,2020-03-13,3.79141,3268.3917844290986
438,2020-03-14,3.82295,3295.580897946469
439,2020-03-15,4.63675,3997.1186462164796
440,2020-03-16,4.02104,3466.3447374092443
441,2020-03-17,3.60846,3110.679409096095
442,2020-03-18,3.6072,3109.5932238382675
443,2020-03-19,3.73716,3221.625474717071
444,2020-03-20,3.67786,3170.5058034558133
445,2020-03-21,3.97688,3428.276530277758
446,2020-03-22,4.55222,3924.2494082449093
447,2020-03-23,4.21282,3631.669030064961
448,2020-03-24,3.98824,3438.0694386340456
449,2020-03-25,3.65136,3147.6614309697534
450,2020-03-26,4.04754,3489.189109895304
451,2020-03-27,3.73337,3218.358298425668
452,2020-03-28,3.96426,3417.3974366636417
453,2020-03-29,4.47021,3853.552540788994
454,2020-03-30,3.97057,3422.8369834706996
455,2020-03-31,3.87847,3343.442013434244
456,2020-04-01,3.96805,3420.664612955044
457,2020-04-02,3.8015,3277.08988700964
458,2020-04-03,3.82548,3297.761888980044
459,2020-04-04,3.85828,3326.0371877552425
460,2020-04-05,4.15226,3579.463173545876
461,2020-04-06,4.19263,3614.26420438596
462,2020-04-07,3.93777,3394.5616846955018
463,2020-04-08,4.94965,4266.854651910368
464,2020-04-09,4.33016,3732.8221873296493
465,2020-04-10,3.77879,3257.5126908149828
466,2020-04-11,3.95417,3408.699334083101
467,2020-04-12,4.4803,3862.2506433695353
468,2020-04-13,3.95922,3413.052695632331
469,2020-04-14,3.57187,3079.136934029494
470,2020-04-15,4.25698,3669.7372371964484
471,2020-04-16,3.72833,3214.0135573943576
472,2020-04-17,3.68795,3179.203906036354
473,2020-04-18,3.91127,3371.717312209442
474,2020-04-19,4.38693,3781.760867557333
475,2020-04-20,3.66524,3159.626709841697
476,2020-04-21,3.61856,3119.3861321945556
477,2020-04-22,3.8709,3336.916281369358
478,2020-04-23,3.69174,3182.4710823277564
479,2020-04-24,3.74094,3224.8840304905543
480,2020-04-25,4.01347,3459.8190053443586
481,2020-04-26,4.77806,4118.935184933653
482,2020-04-27,4.43362,3822.010065722394
483,2020-04-28,4.09043,3526.162511251043
484,2020-04-29,3.89739,3359.7520333374987
485,2020-04-30,4.22291,3640.3671326455024
486,2020-05-01,4.68848,4041.712585412852
487,2020-05-02,5.00012,4310.362405848912
488,2020-05-03,5.38746,4644.26954693383
489,2020-05-04,5.607,4833.5243973334345
490,2020-05-05,5.8278,5023.865432990866
491,2020-05-06,5.73822,4946.642833470066
492,2020-05-07,5.45307,4700.828765002146
493,2020-05-08,5.16162,4449.583770245087
494,2020-05-09,4.5825,3950.3523365044516
495,2020-05-10,4.3617,3760.01130084702
496,2020-05-11,4.691,4043.884955928507
497,2020-05-12,4.28726,3695.8401654559907
498,2020-05-13,4.2002,3620.7899364508453
499,2020-05-14,4.27969,3689.3144333911055
500,2020-05-15,4.03997,3482.6633778304185
501,2020-05-16,4.14216,3570.756450447415
502,2020-05-17,4.81087,4147.2191042267705
503,2020-05-18,4.5131,3890.5259421447336
504,2020-05-19,4.17244,3596.859378706958
505,2020-05-20,3.94912,3404.3459725338707
506,2020-05-21,3.86585,3332.5629198201277
507,2020-05-22,3.95669,3410.8717045987564
508,2020-05-23,4.19137,3613.1780191281323
509,2020-05-24,4.68343,4037.359223863622
510,2020-05-25,4.33016,3732.8221873296493
511,2020-05-26,4.06772,3506.5853150563858
512,2020-05-27,4.15352,3580.549358803704
513,2020-05-28,3.3107,2853.9948675319783
514,2020-05-29,3.24509,2797.4356494636622
515,2020-05-30,3.54286,3054.1288115456987
516,2020-05-31,4.09674,3531.6020580581007
517,2020-06-01,4.02735,3471.7842842163022
518,2020-06-02,3.87973,3344.5281986920713
519,2020-06-03,3.62613,3125.911864259441
520,2020-06-04,3.75608,3237.9354946203257
521,2020-06-05,3.61351,3115.0327706453254
522,2020-06-06,3.83305,3304.2876210449294
523,2020-06-07,4.3289,3731.7360020718215
524,2020-06-08,3.88099,3345.6143839498995
525,2020-06-09,3.90118,3363.019209628901
526,2020-06-10,3.8608,3328.2095582708976
527,2020-06-11,3.92137,3380.4240353079026
528,2020-06-12,3.86711,3333.6491050779555
529,2020-06-13,4.15352,3580.549358803704
530,2020-06-14,4.56988,3939.473242890336
531,2020-06-15,4.10179,3535.955419607332
532,2020-06-16,3.9302,3388.035952630616
533,2020-06-17,3.74725,3230.3235772976122
534,2020-06-18,4.03113,3475.0428399897855
535,2020-06-19,3.84945,3318.4252704325286
536,2020-06-20,4.49292,3873.129736983651
537,2020-06-21,4.34151,3742.6064751680187
538,2020-06-22,3.93524,3392.3806936619267
539,2020-06-23,3.79267,3269.4779696869264
540,2020-06-24,3.71192,3199.8672874888393
541,2020-06-25,3.83178,3303.1928152691826
542,2020-06-26,3.69931,3188.9968143926426
543,2020-06-27,4.06646,3505.4991297985584
544,2020-06-28,4.5232,3899.2326652431943
545,2020-06-29,4.04375,3485.9219336039014
546,2020-06-30,3.68921,3180.2900912941823
547,2020-07-01,3.6072,3109.5932238382675
548,2020-07-02,4.47904,3861.164458111708
549,2020-07-03,3.69174,3182.4710823277564
550,2020-07-04,3.80024,3276.003701751812
551,2020-07-05,4.43109,3819.829074688819
552,2020-07-06,3.84188,3311.8995383676433
553,2020-07-07,3.72076,3207.487825329472
554,2020-07-08,3.7094,3197.694916973184
555,2020-07-09,3.39019,2922.5193644722376
556,2020-07-10,3.25014,2801.7890110128924
557,2020-07-11,3.67155,3165.066256648755
558,2020-07-12,4.44119,3828.535797787279
559,2020-07-13,3.76744,3247.728402976614
560,2020-07-14,3.52645,3039.98254164018
561,2020-07-15,3.42552,2952.9756542810105
562,2020-07-16,3.33089,2871.39969321098
563,2020-07-17,3.34098,2880.0977957915206
564,2020-07-18,3.70561,3194.4277406817814
565,2020-07-19,4.10557,3539.2139753808146
566,2020-07-20,3.77627,3255.3403202993272
567,2020-07-21,3.42047,2948.6222927317804
568,2020-07-22,3.31953,2861.6067848546913
569,2020-07-23,3.48356,3003.009140284441
570,2020-07-24,3.14416,2710.4287621044928
571,2020-07-25,3.82548,3297.761888980044
572,2020-07-26,4.08665,3522.90395547756
573,2020-07-27,3.51131,3026.9310775104086
574,2020-07-28,3.43309,2959.501386345896
575,2020-07-29,3.19589,2755.022701300865
576,2020-07-30,3.26907,2818.1076514340666
577,2020-07-31,2.97509,2564.6816656434326
578,2020-08-01,3.40028,2931.217467052779
579,2020-08-02,3.73337,3218.358298425668
580,2020-08-03,3.67786,3170.5058034558133
581,2020-08-04,3.40533,2935.570828602009
582,2020-08-05,3.31575,2858.348229081208
583,2020-08-06,3.21607,2772.4189064619472
584,2020-08-07,4.16235,3588.161276126417
585,2020-08-08,3.42426,2951.8894690231828
586,2020-08-09,3.71318,3200.9534727466666
587,2020-08-10,3.51636,3031.2844390596388
588,2020-08-11,3.37126,2906.2007240510634
589,2020-08-12,3.22869,2783.298000076063
590,2020-08-13,3.4129,2942.0965606668947
591,2020-08-14,3.36243,2898.58880672835
592,2020-08-15,3.47851,2998.6557787352103
593,2020-08-16,3.65641,3152.014792518984
594,2020-08-17,3.84188,3311.8995383676433
595,2020-08-18,3.33594,2875.7530547602096
596,2020-08-19,3.63244,3131.3514110664987
597,2020-08-20,3.64253,3140.04951364704
598,2020-08-21,3.48608,3005.181510800096
599,2020-08-22,3.61351,3115.0327706453254
600,2020-08-23,3.79015,3267.305599171271
601,2020-08-24,3.66272,3157.454339326042
602,2020-08-25,3.57944,3085.66266609438
603,2020-08-26,3.24131,2794.177093690179
604,2020-08-27,3.28042,2827.891939272435
605,2020-08-28,3.02934,2611.44797535546
606,2020-08-29,3.71823,3205.3068342958973
607,2020-08-30,3.97183,3423.923168728528
608,2020-08-31,3.40028,2931.217467052779
609,2020-09-01,3.3965,2927.9589112792955
610,2020-09-02,3.58701,3092.1883981592655
611,2020-09-03,3.61351,3115.0327706453254
612,2020-09-04,3.40028,2931.217467052779
613,2020-09-05,3.85702,3324.9510024974143
614,2020-09-06,4.83484,4167.882485679254
615,2020-09-07,4.37684,3773.0627649767907
616,2020-09-08,4.02104,3466.3447374092443
617,2020-09-09,3.98193,3432.629891826988
618,2020-09-10,3.77879,3257.5126908149828
619,2020-09-11,3.90118,3363.019209628901
620,2020-09-12,4.63927,3999.2910167321347
