,date,시리즈,시리즈_absolute
210,2019-07-30,21.97129,2576.363164589253
211,2019-07-31,20.45933,2399.0700675370376
212,2019-08-01,19.44497,2280.125766149511
213,2019-08-02,18.74641,2198.212312171366
214,2019-08-03,17.75119,2081.5123756331604
215,2019-08-04,20.39234,2391.214790564414
216,2019-08-05,20.42105,2394.5813378383955
217,2019-08-06,21.311,2498.9372677053357
218,2019-08-07,20.11483,2358.6738454580886
219,2019-08-08,21.49282,2520.2575611694706
220,2019-08-09,19.62679,2301.446059613646
221,2019-08-10,17.11004,2006.3308435985643
222,2019-08-11,19.61722,2300.3238771889855
223,2019-08-12,21.05263,2468.640687448331
224,2019-08-13,20.5933,2414.77944887787
225,2019-08-14,20.0287,2348.574203636144
226,2019-08-15,22.05741,2586.461633806783
227,2019-08-16,20.94736,2456.2966807770654
228,2019-08-17,18.04784,2116.2976855888073
229,2019-08-18,20.54545,2409.1685367545674
230,2019-08-19,23.48325,2753.656261641468
231,2019-08-20,21.04306,2467.5185050236705
232,2019-08-21,21.37799,2506.7925446779595
233,2019-08-22,20.2488,2374.383226798921
234,2019-08-23,22.76555,2669.498442814003
235,2019-08-24,19.7799,2319.3998058037996
236,2019-08-25,21.57894,2530.356030387001
237,2019-08-26,23.76076,2786.197206747794
238,2019-08-27,23.26315,2727.847238478691
239,2019-08-28,22.79425,2672.8638174835696
240,2019-08-29,22.72727,2665.0097131153607
241,2019-08-30,21.87559,2565.1413403426477
242,2019-08-31,21.17703,2483.227886364503
243,2019-09-01,25.14832,2948.903104883837
244,2019-09-02,25.15789,2950.0252873084974
245,2019-09-03,26.09569,3059.9921292987406
246,2019-09-04,25.66507,3009.497438002261
247,2019-09-05,25.02392,2934.315905967665
248,2019-09-06,25.13875,2947.7809224591765
249,2019-09-07,46.78468,5485.992229818801
250,2019-09-08,39.15789,4591.671467585102
251,2019-09-09,31.49282,3692.861975652759
252,2019-09-10,30.68899,3598.604515003349
253,2019-09-11,30.4976,3576.1620391145534
254,2019-09-12,30.36363,3560.452657773721
255,2019-09-13,25.33971,2971.3455807726327
256,2019-09-14,29.16746,3420.189235526473
257,2019-09-15,33.52153,3930.7494058233983
258,2019-09-16,30.31578,3554.8417456504185
259,2019-09-17,28.79425,3376.426466173543
260,2019-09-18,27.54066,3229.429949378332
261,2019-09-19,26.78468,3140.7834008522245
262,2019-09-20,26.41148,3097.0218041037083
263,2019-09-21,27.07177,3174.447700987625
264,2019-09-22,33.71291,3953.1907091077796
265,2019-09-23,30.69856,3599.7266974280096
266,2019-09-24,29.95215,3512.202331326562
267,2019-09-25,29.7799,3492.004220287088
268,2019-09-26,27.88516,3269.8261714572814
269,2019-09-27,27.59808,3236.163043926295
270,2019-09-28,26.98564,3164.3480591656803
271,2019-09-29,29.35885,3442.631711415269
272,2019-09-30,28.23923,3311.344575960891
273,2019-10-01,28.3732,3327.0539573017236
274,2019-10-02,29.02392,3403.3576717609803
275,2019-10-03,28.87081,3385.4039255708262
276,2019-10-04,27.7799,3257.4833373904303
277,2019-10-05,26.57416,3116.097732718522
278,2019-10-06,31.39712,3681.6401514061545
279,2019-10-07,32.1244,3766.921325262695
280,2019-10-08,30.74641,3605.337609551312
281,2019-10-09,33.99043,3985.73282681852
282,2019-10-10,31.73205,3720.914191060443
283,2019-10-11,30.3732,3561.5748401983815
284,2019-10-12,30.26794,3549.2320061315304
285,2019-10-13,33.93301,3978.999732270557
286,2019-10-14,32.56459,3818.538198983835
287,2019-10-15,29.59808,3470.683926822953
288,2019-10-16,31.79904,3728.769468033067
289,2019-10-17,30.36363,3560.452657773721
290,2019-10-18,30.32535,3555.963928075079
291,2019-10-19,27.17703,3186.790535054476
292,2019-10-20,31.64593,3710.815721842913
293,2019-10-21,33.29186,3903.818200235961
294,2019-10-22,33.20574,3893.7197310184306
295,2019-10-23,33.1866,3891.4753661691093
296,2019-10-24,32.44019,3803.951000067663
297,2019-10-25,32.75598,3840.9806748726305
298,2019-10-26,30.73684,3604.215427126652
299,2019-10-27,36.82296,4317.876545034155
300,2019-10-28,36.28708,4255.039019670825
301,2019-10-29,34.31578,4023.8835114437334
302,2019-10-30,35.12918,4119.263154517804
303,2019-10-31,30.95693,3630.0232776850144
304,2019-11-01,30.5933,3587.3838633611585
305,2019-11-02,32.30622,3788.2416187268304
306,2019-11-03,34.90909,4093.4553039594416
307,2019-11-04,34.48803,4044.0816224832083
308,2019-11-05,33.85645,3970.022272873273
309,2019-11-06,33.85645,3970.022272873273
310,2019-11-07,32.60287,3823.026928682477
311,2019-11-08,32.622,3825.2701209273832
312,2019-11-09,32.81339,3847.7125968161786
313,2019-11-10,38.21052,4480.5824431701985
314,2019-11-11,37.15789,4357.150584688444
315,2019-11-12,33.62679,3943.0922398902494
316,2019-11-13,36.74641,4308.900258241285
317,2019-11-14,35.27272,4136.094718283297
318,2019-11-15,33.47368,3925.138493700096
319,2019-11-16,32.83253,3849.9569616655
320,2019-11-17,36.79425,4314.509997760173
321,2019-11-18,38.48803,4513.123388276524
322,2019-11-19,35.56937,4170.880028238944
323,2019-11-20,33.5598,3935.2369629176264
324,2019-11-21,32.19138,3774.775429630904
325,2019-11-22,31.311,3671.5416821886242
326,2019-11-23,28.87081,3385.4039255708262
327,2019-11-24,33.81818,3965.534715779045
328,2019-11-25,34.99521,4103.553773176972
329,2019-11-26,31.48325,3691.7397932280987
330,2019-11-27,30.68899,3598.604515003349
331,2019-11-28,28.36363,3325.931774877063
332,2019-11-29,27.89473,3270.948353881942
333,2019-11-30,28.03827,3287.779917647435
334,2019-12-01,32.30622,3788.2416187268304
335,2019-12-02,30.97607,3632.267642534335
336,2019-12-03,29.0622,3407.8464014596225
337,2019-12-04,28.47846,3339.3967913685747
338,2019-12-05,27.33014,3204.7442812446297
339,2019-12-06,27.96172,3278.803630854565
340,2019-12-07,27.6555,3242.896138474258
341,2019-12-08,30.81339,3613.191713919521
342,2019-12-09,31.54066,3698.4717151716472
343,2019-12-10,28.88038,3386.526107995487
344,2019-12-11,27.86602,3267.58180660796
345,2019-12-12,28.65071,3359.5949024080496
346,2019-12-13,29.87559,3503.2248719292784
347,2019-12-14,26.14354,3065.603041422043
348,2019-12-15,29.7799,3492.004220287088
349,2019-12-16,29.97129,3514.4466961758835
350,2019-12-17,29.75119,3488.6376730131065
351,2019-12-18,28.92822,3392.135847514375
352,2019-12-19,27.11004,3178.9352580818527
353,2019-12-20,26.55502,3113.853367869201
354,2019-12-21,26.55502,3113.853367869201
355,2019-12-22,31.0909,3645.732659025847
356,2019-12-23,32.27751,3784.8750714528483
357,2019-12-24,31.30143,3670.419499763964
358,2019-12-25,33.62679,3943.0922398902494
359,2019-12-26,29.88516,3504.347054353939
360,2019-12-27,27.311,3202.499916395309
361,2019-12-28,26.86124,3149.7608602495084
362,2019-12-29,29.10047,3412.33395855385
363,2019-12-30,28.63157,3357.3505375587283
364,2019-12-31,26.27751,3081.3124227628755
365,2020-01-01,26.79425,3141.905583276885
366,2020-01-02,26.86124,3149.7608602495084
367,2020-01-03,26.46889,3103.7537260472564
368,2020-01-04,25.87559,3034.183106135963
369,2020-01-05,29.51196,3460.5854576054226
370,2020-01-06,27.51196,3226.0645747087647
371,2020-01-07,28.05741,3290.024282496756
372,2020-01-08,25.94258,3042.0383831085865
373,2020-01-09,25.46411,2985.932779688805
374,2020-01-10,25.56937,2998.2756137556557
375,2020-01-11,24.45933,2868.111833330353
376,2020-01-12,29.35885,3442.631711415269
377,2020-01-13,28.04784,3288.9021000720954
378,2020-01-14,25.84688,3030.8165588619813
379,2020-01-15,25.73205,3017.3515423704703
380,2020-01-16,24.88995,2918.606524626832
381,2020-01-17,24.81339,2909.629065229548
382,2020-01-18,24.56459,2880.454667397204
383,2020-01-19,27.21531,3191.2792647531182
384,2020-01-20,27.60765,3237.2852263509553
385,2020-01-21,26.28708,3082.434605187536
386,2020-01-22,24.44976,2866.9896509056925
387,2020-01-23,26.92822,3157.6149646177173
388,2020-01-24,26.35406,3090.288709555745
389,2020-01-25,24.4976,2872.59939042458
390,2020-01-26,26.53588,3111.60900301988
391,2020-01-27,28.65071,3359.5949024080496
392,2020-01-28,28.94736,3394.380212363696
393,2020-01-29,29.33014,3439.2651641412876
394,2020-01-30,27.19617,3189.034899903797
395,2020-01-31,24.66985,2892.797501464055
396,2020-02-01,25.311,2967.979033498651
397,2020-02-02,26.67942,3128.4405667853734
398,2020-02-03,27.37799,3210.3551933679323
399,2020-02-04,28.27751,3315.833305659533
400,2020-02-05,28.82296,3379.7930134475237
401,2020-02-06,26.26794,3080.190240338215
402,2020-02-07,26.38277,3093.6552568297266
403,2020-02-08,26.57416,3116.097732718522
404,2020-02-09,30.89952,3623.291355741466
405,2020-02-10,31.16746,3654.710118423131
406,2020-02-11,30.10526,3530.1560775167163
407,2020-02-12,32.20095,3775.8976120555644
408,2020-02-13,32.10526,3764.6769604133738
409,2020-02-14,29.38755,3445.997086084836
410,2020-02-15,30.38277,3562.697022623042
411,2020-02-16,30.85167,3617.6804436181633
412,2020-02-17,28.55502,3348.3742507658585
413,2020-02-18,27.4354,3217.087115311481
414,2020-02-19,25.99043,3047.649295231889
415,2020-02-20,26.61244,3120.586462417164
416,2020-02-21,26.26794,3080.190240338215
417,2020-02-22,26.83253,3146.3943129755266
418,2020-02-23,26.89952,3154.2495899481505
419,2020-02-24,25.87559,3034.183106135963
420,2020-02-25,27.94258,3276.5592660052444
421,2020-02-26,25.51196,2991.543691812107
422,2020-02-27,28.2488,3312.4667583855517
423,2020-02-28,28.17224,3303.4892989882674
424,2020-02-29,27.01435,3167.714606439662
425,2020-03-01,29.81818,3496.49294998573
426,2020-03-02,28.67942,3362.961449682031
427,2020-03-03,27.97129,3279.9258132792256
428,2020-03-04,28.47846,3339.3967913685747
429,2020-03-05,28.70813,3366.3279969560126
430,2020-03-06,27.97129,3279.9258132792256
431,2020-03-07,28.9665,3396.6245772130173
432,2020-03-08,29.51196,3460.5854576054226
433,2020-03-09,31.34928,3676.0304118872664
434,2020-03-10,30.39234,3563.8192050477023
435,2020-03-11,29.38755,3445.997086084836
436,2020-03-12,28.04784,3288.9021000720954
437,2020-03-13,27.13875,3182.3018053558344
438,2020-03-14,26.07655,3057.7477644494193
439,2020-03-15,30.0,3517.813243449865
440,2020-03-16,27.78947,3258.6055198150907
441,2020-03-17,27.01435,3167.714606439662
442,2020-03-18,27.93301,3275.437083580584
443,2020-03-19,26.85167,3148.638677824848
444,2020-03-20,28.23923,3311.344575960891
445,2020-03-21,27.94258,3276.5592660052444
446,2020-03-22,29.1866,3422.433600375794
447,2020-03-23,30.04784,3523.4229829687533
448,2020-03-24,28.45933,3337.1535991236683
449,2020-03-25,29.82775,3497.6151324103907
450,2020-03-26,28.64114,3358.4727199833887
451,2020-03-27,26.64114,3123.9518370867313
452,2020-03-28,25.40669,2979.1996851408417
453,2020-03-29,28.42105,3332.664869425026
454,2020-03-30,27.05263,3172.203336138304
455,2020-03-31,26.28708,3082.434605187536
456,2020-04-01,29.03349,3404.4798541856408
457,2020-04-02,29.36842,3443.7538938399293
458,2020-04-03,27.1866,3187.9127174791365
459,2020-04-04,27.6555,3242.896138474258
460,2020-04-05,29.96172,3513.324513751223
461,2020-04-06,31.79904,3728.769468033067
462,2020-04-07,30.66985,3596.360150154028
463,2020-04-08,30.44019,3569.430117171005
464,2020-04-09,28.32535,3321.443045178421
465,2020-04-10,29.33014,3439.2651641412876
466,2020-04-11,29.38755,3445.997086084836
467,2020-04-12,30.69856,3599.7266974280096
468,2020-04-13,29.82775,3497.6151324103907
469,2020-04-14,28.38277,3328.1761397263845
470,2020-04-15,26.58373,3117.219915143183
471,2020-04-16,27.66507,3244.018320898919
472,2020-04-17,27.58851,3235.0408615016345
473,2020-04-18,24.61244,2886.0655795205066
474,2020-04-19,28.63157,3357.3505375587283
475,2020-04-20,27.69377,3247.3836955684856
476,2020-04-21,26.86124,3149.7608602495084
477,2020-04-22,26.15311,3066.7252238467036
478,2020-04-23,26.0287,3052.1368523261167
479,2020-04-24,24.4976,2872.59939042458
480,2020-04-25,24.53588,2877.0881201232223
481,2020-04-26,27.99043,3282.170178128547
482,2020-04-27,26.70813,3131.8071140593547
483,2020-04-28,24.8421,2912.9956125035296
484,2020-04-29,24.45933,2868.111833330353
485,2020-04-30,22.53588,2642.567237226565
486,2020-05-01,23.79904,2790.6859364464362
487,2020-05-02,23.94258,2807.517500211929
488,2020-05-03,27.58851,3235.0408615016345
489,2020-05-04,25.92344,3039.7940182592656
490,2020-05-05,24.83253,2911.873430078869
491,2020-05-06,25.0909,2942.170010335874
492,2020-05-07,23.59808,2767.1212781329796
493,2020-05-08,23.42583,2746.923167093505
494,2020-05-09,23.77033,2787.3193891724545
495,2020-05-10,23.73205,2782.8306594738124
