,date,타미힐피거,타미힐피거_absolute
1016,2021-10-13,9.13472,7874.601744749361
1017,2021-10-14,8.70322,7502.626396532957
1018,2021-10-15,8.37139,7216.571750417895
1019,2021-10-16,12.43912,10723.1656859922
1020,2021-10-17,14.20676,12246.962915473647
1021,2021-10-18,11.76789,10144.53066169719
1022,2021-10-19,11.22788,9679.014073538812
1023,2021-10-20,13.64152,11759.696760604957
1024,2021-10-21,11.13073,9595.265741953126
1025,2021-10-22,9.25584,7979.0134577875315
1026,2021-10-23,12.1729,10493.670257945454
1027,2021-10-24,13.87872,11964.175445649988
1028,2021-10-25,11.16354,9623.549661246243
1029,2021-10-26,10.70175,9225.462764252377
1030,2021-10-27,9.8009,8448.883407495141
1031,2021-10-28,9.26467,7986.625375110247
1032,2021-10-29,8.65275,7459.118642594412
1033,2021-10-30,9.47033,8163.914946637907
1034,2021-10-31,11.07017,9543.059885434039
1035,2021-11-01,8.71583,7513.496869629154
1036,2021-11-02,8.66032,7465.644374659299
1037,2021-11-03,7.71152,6647.729634479174
1038,2021-11-04,7.48315,6450.8628667568555
1039,2021-11-05,7.26362,6261.616636875171
1040,2021-11-06,15.8066,13626.107854269781
1041,2021-11-07,17.62471,15193.412837689772
1042,2021-11-08,14.32662,12350.28844325399
1043,2021-11-09,12.60314,10864.55942090403
1044,2021-11-10,14.37962,12395.977188226108
1045,2021-11-11,10.67652,9203.713197542065
1046,2021-11-12,9.72267,8381.44509581271
1047,2021-11-13,10.94905,9438.64817239587
1048,2021-11-14,11.44616,9867.182738680589
1049,2021-11-15,9.11201,7855.024548554704
1050,2021-11-16,9.15617,7893.09275568619
1051,2021-11-17,8.73855,7533.082686341731
1052,2021-11-18,8.10896,6990.343498662551
1053,2021-11-19,7.80362,6727.1246045156295
1054,2021-11-20,9.29496,8012.736923887707
1055,2021-11-21,12.43533,10719.898509700799
1056,2021-11-22,9.5637,8244.40472245011
1057,2021-11-23,10.53899,9085.155214598375
1058,2021-11-24,9.65076,8319.454951455255
1059,2021-11-25,9.48043,8172.621669736367
1060,2021-11-26,9.32524,8038.839852147252
1061,2021-11-27,9.84001,8482.598253077396
1062,2021-11-28,11.93696,10290.27775815825
