,date,포터리,포터리_absolute
371,2020-01-07,0.19773,71.77180543254364
372,2020-01-08,0.1269,46.06201441050822
373,2020-01-09,0.20364,73.91701035899048
374,2020-01-10,0.1151,41.77886413435378
375,2020-01-11,0.20954,76.0585854970677
376,2020-01-12,0.20364,73.91701035899048
377,2020-01-13,0.23315,84.62851583774618
378,2020-01-14,0.242,87.840878544862
379,2020-01-15,0.41023,148.90480828701956
380,2020-01-16,0.20364,73.91701035899048
381,2020-01-17,0.20364,73.91701035899048
382,2020-01-18,0.22725,82.48694069966896
383,2020-01-19,0.23905,86.7700909758234
384,2020-01-20,0.21839,79.27094820418351
385,2020-01-21,0.20364,73.91701035899048
386,2020-01-22,0.20659,74.98779792802908
387,2020-01-23,0.73193,265.67510013777206
388,2020-01-24,0.72602,263.52989521132525
389,2020-01-25,0.30988,112.47988199785883
390,2020-01-26,0.38957,141.40566551537972
391,2020-01-27,0.37481,136.04809788181703
392,2020-01-28,0.42204,153.19158835154363
393,2020-01-29,0.32169,116.76666206238286
394,2020-01-30,0.35711,129.6233724675854
395,2020-01-31,0.35415,128.5489551101772
396,2020-02-01,0.30988,112.47988199785883
397,2020-02-02,0.31874,115.69587449334428
398,2020-02-03,0.29808,108.1967317217044
399,2020-02-04,0.39252,142.4764530844183
400,2020-02-05,0.27742,100.69758895006453
401,2020-02-06,0.35415,128.5489551101772
402,2020-02-07,0.23905,86.7700909758234
403,2020-02-08,0.27742,100.69758895006453
404,2020-02-09,0.28923,104.98436901458857
405,2020-02-10,0.28627,103.90995165718036
406,2020-02-11,0.30103,109.26751929074301
407,2020-02-12,0.28923,104.98436901458857
408,2020-02-13,0.25086,91.05687104034745
409,2020-02-14,0.22725,82.48694069966896
410,2020-02-15,0.31579,114.62508692430566
411,2020-02-16,0.28627,103.90995165718036
412,2020-02-17,0.34825,126.40737997209996
413,2020-02-18,0.40728,147.83402071798096
414,2020-02-19,0.30398,110.3383068597816
415,2020-02-20,0.34825,126.40737997209996
416,2020-02-21,0.28923,104.98436901458857
417,2020-02-22,0.24496,88.91529590227023
418,2020-02-23,0.32759,118.90823720046009
419,2020-02-24,0.21839,79.27094820418351
420,2020-02-25,0.28332,102.83916408814174
421,2020-02-26,0.3512,127.47816754113857
422,2020-02-27,0.39547,143.54724065345692
423,2020-02-28,0.3394,123.19501726498413
424,2020-02-29,0.36596,132.83573517470123
425,2020-03-01,0.43089,156.40395105865943
426,2020-03-02,0.41023,148.90480828701956
427,2020-03-03,0.46926,170.3314490329006
428,2020-03-04,0.51058,185.32973457618033
429,2020-03-05,0.44565,161.7615186922221
430,2020-03-06,0.32464,117.83744963142148
431,2020-03-07,0.43089,156.40395105865943
432,2020-03-08,0.37186,134.97731031277846
433,2020-03-09,0.3335,121.05344212690693
434,2020-03-10,0.788,286.02732352624486
435,2020-03-11,0.48696,176.75617444713222
436,2020-03-12,0.45745,166.04466896837653
437,2020-03-13,0.44565,161.7615186922221
438,2020-03-14,0.38072,138.1933028082639
439,2020-03-15,0.5578,202.46959525753726
440,2020-03-16,0.63453,230.32096141764995
441,2020-03-17,0.54009,196.041240054936
442,2020-03-18,0.54599,198.18281519301323
443,2020-03-19,0.5578,202.46959525753726
