,date,질스튜어트,질스튜어트_absolute
220,2019-08-09,33.81818,3965.534715779045
221,2019-08-10,35.85645,4204.54315576993
222,2019-08-11,41.02392,4810.482969140926
223,2019-08-12,36.13397,4237.08527348067
224,2019-08-13,45.00478,5277.28037008492
225,2019-08-14,40.61244,4762.232642693768
226,2019-08-15,43.92344,5150.481964329185
227,2019-08-16,37.63636,4413.256188108226
228,2019-08-17,39.57894,4641.04397645692
229,2019-08-18,42.95693,5037.14857506496
230,2019-08-19,38.99521,4572.595538970287
231,2019-08-20,39.01435,4574.8399038196085
232,2019-08-21,38.26794,4487.315537718161
233,2019-08-22,36.4976,4279.724687804526
234,2019-08-23,34.19138,4009.296312527562
235,2019-08-24,37.75119,4426.721204599737
236,2019-08-25,43.16746,5061.835415803077
237,2019-08-26,38.64114,4531.077134466677
238,2019-08-27,41.10047,4819.459255933796
239,2019-08-28,37.94258,4449.163680488533
240,2019-08-29,36.88038,4324.609639582118
241,2019-08-30,36.98564,4336.952473648968
242,2019-08-31,41.44497,4859.855478012745
243,2019-09-01,49.95215,5857.41116029314
244,2019-09-02,42.46889,4979.920789220518
245,2019-09-03,41.56937,4874.4426769289175
246,2019-09-04,36.4976,4279.724687804526
247,2019-09-05,38.3732,4499.658371785012
248,2019-09-06,37.45454,4391.935894644091
249,2019-09-07,41.28229,4840.779549397931
250,2019-09-08,46.68899,5474.77157817661
251,2019-09-09,40.51674,4751.010818447163
252,2019-09-10,34.85167,4086.7222094114786
253,2019-09-11,34.57416,4054.1812643051526
254,2019-09-12,38.60287,4526.58957737245
255,2019-09-13,39.20574,4597.282379708404
256,2019-09-14,49.05263,5751.933048001539
257,2019-09-15,52.36363,6140.182369636956
258,2019-09-16,46.69856,5475.893760601271
259,2019-09-17,41.5311,4869.95511983469
260,2019-09-18,40.30622,4726.325150313461
261,2019-09-19,36.63157,4295.43406914536
262,2019-09-20,33.62679,3943.0922398902494
263,2019-09-21,40.32535,4728.5683425583675
264,2019-09-22,46.52631,5455.695649561797
265,2019-09-23,40.622,4763.353652514013
266,2019-09-24,38.3732,4499.658371785012
267,2019-09-25,41.7799,4899.129517667034
268,2019-09-26,35.80861,4198.933416251042
269,2019-09-27,35.54066,4167.513480964963
270,2019-09-28,65.91387,7729.0894937677585
271,2019-09-29,63.50239,7446.318284423942
272,2019-09-30,52.11483,6111.007971804611
273,2019-10-01,51.42583,6030.215527646712
274,2019-10-02,48.86124,5729.490572112743
275,2019-10-03,49.50239,5804.672104147338
276,2019-10-04,41.76076,4896.885152817713
277,2019-10-05,43.61722,5114.5744719488775
278,2019-10-06,52.86124,6198.532337906058
279,2019-10-07,47.93301,5620.645912547161
280,2019-10-08,42.79425,5018.072646450146
281,2019-10-09,45.5598,5342.362260297572
282,2019-10-10,41.50239,4866.588572560708
283,2019-10-11,36.06698,4229.229996508047
284,2019-10-12,41.32057,4845.268279096573
285,2019-10-13,46.42105,5443.352815494945
286,2019-10-14,40.92822,4799.261144894322
287,2019-10-15,39.28229,4606.258666501274
288,2019-10-16,38.42105,4505.269283908315
289,2019-10-17,37.87559,4441.308403515909
290,2019-10-18,38.47846,4512.001205851863
291,2019-10-19,41.33971,4847.512643945894
292,2019-10-20,46.11483,5407.445323114638
293,2019-10-21,41.26315,4838.53518454861
294,2019-10-22,40.0287,4693.783032602721
295,2019-10-23,38.64114,4531.077134466677
296,2019-10-24,35.13875,4120.385336942465
297,2019-10-25,34.85167,4086.7222094114786
298,2019-10-26,39.44497,4625.334595116087
299,2019-10-27,46.85167,5493.847506791424
300,2019-10-28,47.33014,5549.953110211207
301,2019-10-29,43.17703,5062.957598227737
302,2019-10-30,39.0622,4580.450815942911
303,2019-10-31,34.1244,4001.4422081593525
304,2019-11-01,35.55023,4168.635663389623
305,2019-11-02,42.56459,4991.142613467124
306,2019-11-03,49.14832,5763.153699643729
307,2019-11-04,45.62679,5350.217537270196
308,2019-11-05,42.31578,4961.967043030364
309,2019-11-06,43.32057,5079.789161993231
310,2019-11-07,45.95215,5388.369394499824
311,2019-11-08,45.28229,5309.821315191247
312,2019-11-09,48.13397,5644.210570860617
313,2019-11-10,57.12918,6698.992866381039
314,2019-11-11,50.99521,5979.720836350233
315,2019-11-12,48.04784,5634.110929038672
316,2019-11-13,46.7177,5478.138125450592
317,2019-11-14,49.81818,5841.701778952306
318,2019-11-15,47.55023,5575.7609607695695
319,2019-11-16,52.68899,6178.334226866583
320,2019-11-17,60.01913,7037.869679144636
321,2019-11-18,53.07177,6223.2191786441745
322,2019-11-19,52.63157,6171.601132318621
323,2019-11-20,49.38755,5791.205915051412
324,2019-11-21,44.34449,5199.854473201003
325,2019-11-22,39.87559,4675.829286412567
326,2019-11-23,41.55023,4872.198312079596
327,2019-11-24,53.73205,6300.643902923677
328,2019-11-25,49.30143,5781.107445833883
329,2019-11-26,45.16746,5296.356298699735
330,2019-11-27,42.97607,5039.392939914282
331,2019-11-28,43.49282,5099.987273032705
332,2019-11-29,40.41148,4738.667984380311
333,2019-11-30,45.96172,5389.491576924484
334,2019-12-01,56.70813,6649.6203575092195
335,2019-12-02,51.16746,5999.918947389708
336,2019-12-03,46.27751,5426.521251729452
337,2019-12-04,45.38755,5322.1641492580975
338,2019-12-05,43.59808,5112.330107099557
339,2019-12-06,46.91866,5501.702783764048
340,2019-12-07,51.63636,6054.902368384829
341,2019-12-08,57.0622,6691.138762012829
342,2019-12-09,50.78468,5955.033995612117
343,2019-12-10,48.20095,5652.064675228826
344,2019-12-11,47.37799,5555.564022334509
345,2019-12-12,45.58851,5345.728807571553
346,2019-12-13,43.69377,5123.550758741747
347,2019-12-14,46.50717,5453.451284712475
348,2019-12-15,53.23444,6242.2939346545745
349,2019-12-16,47.23444,5538.731285964602
350,2019-12-17,46.43062,5444.474997919606
351,2019-12-18,45.97129,5390.613759349145
352,2019-12-19,42.01913,4927.181733074717
353,2019-12-20,40.30622,4726.325150313461
354,2019-12-21,46.97607,5508.434705707597
355,2019-12-22,53.94258,6325.330743661794
356,2019-12-23,47.50239,5570.1512212506805
357,2019-12-24,43.93301,5151.604146753845
358,2019-12-25,51.78947,6072.856114574983
359,2019-12-26,47.10047,5523.021904623769
360,2019-12-27,42.74641,5012.462906931258
361,2019-12-28,48.22966,5655.431222502808
362,2019-12-29,53.76076,6304.010450197658
363,2019-12-30,45.08133,5286.25665687779
364,2019-12-31,38.22009,4481.704625594858
365,2020-01-01,42.53588,4987.776066193142
366,2020-01-02,43.61722,5114.5744719488775
367,2020-01-03,44.5933,5229.030043637762
368,2020-01-04,49.05263,5751.933048001539
369,2020-01-05,54.11483,6345.528854701269
370,2020-01-06,48.17224,5648.6981279548445
371,2020-01-07,45.33014,5315.432227314549
372,2020-01-08,43.59808,5112.330107099557
373,2020-01-09,41.40669,4855.366748314103
374,2020-01-10,40.53588,4753.255183296484
375,2020-01-11,45.92344,5385.002847225842
376,2020-01-12,54.23923,6360.11605361744
377,2020-01-13,51.11004,5993.185852841744
378,2020-01-14,48.89952,5733.979301811385
379,2020-01-15,46.06698,5401.834410991336
380,2020-01-16,47.11961,5525.26626947309
381,2020-01-17,55.82775,6546.38661006694
382,2020-01-18,56.33492,6605.857588156288
383,2020-01-19,58.7177,6885.263422830538
384,2020-01-20,53.22488,6241.172924834328
385,2020-01-21,59.04306,6923.415280060166
386,2020-01-22,58.2488,6830.280001835417
387,2020-01-23,57.64593,6759.587199499462
388,2020-01-24,57.44497,6736.0225411860065
389,2020-01-25,73.49282,8617.80051648257
390,2020-01-26,91.0622,10677.993771256011
391,2020-01-27,98.54545,11555.482969724217
392,2020-01-28,82.83253,9712.979034081942
393,2020-01-29,78.88038,9249.54818041193
394,2020-01-30,74.67942,8756.941756305156
395,2020-01-31,62.65071,7346.44991165123
396,2020-02-01,68.48803,8030.936631726388
397,2020-02-02,71.36842,8368.69243466974
398,2020-02-03,61.12918,7168.034632174354
399,2020-02-04,57.88516,6787.639414907147
400,2020-02-05,57.61722,6756.220652225481
401,2020-02-06,56.75598,6655.2312696325225
402,2020-02-07,60.82296,7132.127139794047
403,2020-02-08,60.22966,7062.5565198827535
404,2020-02-09,68.622,8046.646013067221
405,2020-02-10,56.15311,6584.538467296568
406,2020-02-11,58.41148,6849.3559304502305
407,2020-02-12,59.27272,6950.345313043189
408,2020-02-13,56.14354,6583.416284871908
409,2020-02-14,52.3732,6141.304552061615
410,2020-02-15,59.60765,6989.6193526974785
411,2020-02-16,61.41626,7201.69775970534
412,2020-02-17,57.89473,6788.761597331807
413,2020-02-18,58.44976,6853.844660148872
414,2020-02-19,53.16746,6234.439830286366
415,2020-02-20,51.19617,6003.28549466369
416,2020-02-21,47.25358,5540.975650813923
417,2020-02-22,54.65071,6408.366380064599
418,2020-02-23,52.11483,6111.007971804611
419,2020-02-24,49.55023,5810.281843666226
420,2020-02-25,51.84688,6079.588036518531
421,2020-02-26,51.33971,6020.117058429182
422,2020-02-27,50.51674,5923.615232930451
423,2020-02-28,46.92822,5502.823793584294
424,2020-02-29,52.40191,6144.671099335597
425,2020-03-01,59.33971,6958.200590015813
426,2020-03-02,49.36842,5788.9627228065065
427,2020-03-03,46.51674,5454.573467137136
428,2020-03-04,49.37799,5790.084905231166
429,2020-03-05,46.2488,5423.154704455471
430,2020-03-06,44.70813,5242.495060129273
431,2020-03-07,48.67942,5708.170278648608
432,2020-03-08,54.74641,6419.588204311204
433,2020-03-09,49.62679,5819.259303063511
434,2020-03-10,51.28229,6013.38396388122
435,2020-03-11,48.40191,5675.6293335422815
436,2020-03-12,42.60287,4995.631343165765
437,2020-03-13,44.68899,5240.250695279952
438,2020-03-14,47.89473,5616.1571828485185
439,2020-03-15,51.11961,5994.308035266406
440,2020-03-16,41.10047,4819.459255933796
441,2020-03-17,39.72248,4657.875540222412
442,2020-03-18,48.06698,5636.355293887993
443,2020-03-19,40.50717,4749.888636022502
444,2020-03-20,34.82296,4083.3556621374973
445,2020-03-21,38.25837,4486.193355293501
446,2020-03-22,42.44976,4977.677596975611
447,2020-03-23,38.42105,4505.269283908315
448,2020-03-24,35.62679,4177.613122786907
449,2020-03-25,37.1866,4360.517131962425
450,2020-03-26,36.5933,4290.946512051131
451,2020-03-27,34.22966,4013.785042226204
452,2020-03-28,36.63157,4295.43406914536
453,2020-03-29,41.11961,4821.703620783117
454,2020-03-30,35.91387,4211.276250317894
455,2020-03-31,33.82775,3966.656898203706
456,2020-04-01,35.97129,4218.009344865857
457,2020-04-02,34.20095,4010.418494952222
458,2020-04-03,33.88516,3973.388820147254
459,2020-04-04,37.46411,4393.05807706875
460,2020-04-05,37.51196,4398.668989192053
461,2020-04-06,35.04306,4109.164685300274
462,2020-04-07,36.41148,4269.626218586996
463,2020-04-08,35.44497,4156.2928293227715
464,2020-04-09,33.62679,3943.0922398902494
465,2020-04-10,31.91387,3742.234484524578
466,2020-04-11,38.36363,4498.536189360351
467,2020-04-12,41.57894,4875.564859353578
468,2020-04-13,38.70813,4538.9324114393
469,2020-04-14,33.51196,3929.6272233987384
470,2020-04-15,38.15311,4473.850521226649
471,2020-04-16,31.11961,3649.0992062998284
472,2020-04-17,31.20574,3659.1988481217727
473,2020-04-18,34.03827,3991.3425663374073
