,date,메종 키츠네,메종 키츠네_absolute
297,2019-10-25,2.59049,3276.781726596352
298,2019-10-26,2.85372,3609.748560628507
299,2019-10-27,2.96606,3751.850502410114
300,2019-10-28,3.15221,3987.31673405197
301,2019-10-29,2.89308,3659.5361022746174
302,2019-10-30,3.61799,4576.494608745194
303,2019-10-31,2.74383,3470.7456909259904
304,2019-11-01,2.63395,3331.755470497266
305,2019-11-02,2.95212,3734.217414743783
306,2019-11-03,3.54993,4490.403651315461
307,2019-11-04,2.99312,3786.0794372918144
308,2019-11-05,3.13499,3965.5346845817967
309,2019-11-06,2.85126,3606.6368392756253
310,2019-11-07,2.76925,3502.90014490577
311,2019-11-08,2.66593,3372.2078480847304
312,2019-11-09,2.78073,3517.421511219219
313,2019-11-10,3.30392,4179.218866753479
314,2019-11-11,3.02346,3824.4573339773583
315,2019-11-12,2.95622,3739.4036169985866
316,2019-11-13,2.85536,3611.823041530429
317,2019-11-14,2.42648,3069.3209871304334
318,2019-11-15,2.3494,2971.820384740134
319,2019-11-16,2.53308,3204.162245755316
320,2019-11-17,2.94474,3724.8822506851375
321,2019-11-18,2.89554,3662.6478236274997
322,2019-11-19,2.43796,3083.842353443882
323,2019-11-20,2.48634,3145.03954005056
324,2019-11-21,2.66265,3368.058886280888
325,2019-11-22,2.44288,3090.0657961496463
326,2019-11-23,2.43468,3079.69339164004
327,2019-11-24,2.76925,3502.90014490577
328,2019-11-25,2.66593,3372.2078480847304
329,2019-11-26,2.91768,3690.6533158034363
330,2019-11-27,2.9062,3676.131949489988
331,2019-11-28,2.68315,3393.9898975549036
332,2019-11-29,2.45518,3105.6244029140553
333,2019-11-30,2.72661,3448.963641455817
334,2019-12-01,3.12843,3957.2367609741113
335,2019-12-02,2.75039,3479.0436145336753
336,2019-12-03,2.55112,3226.9815356764498
337,2019-12-04,2.39122,3024.7196477391262
338,2019-12-05,2.68889,3401.2505807116277
339,2019-12-06,2.52406,3192.7526007947486
340,2019-12-07,2.62575,3321.3830659876594
341,2019-12-08,2.93244,3709.323643920728
342,2019-12-09,2.77499,3510.160828062494
343,2019-12-10,2.67085,3378.431290790494
344,2019-12-11,2.40188,3038.203773601614
345,2019-12-12,3.02346,3824.4573339773583
346,2019-12-13,2.64379,3344.2023559087934
347,2019-12-14,2.80452,3547.5141335708695
348,2019-12-15,3.27768,4146.027172322739
349,2019-12-16,2.68807,3400.213340260668
